Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Fondos | Creadores Escénicos 2025 México,México,SACPC Gobierno de México,"Convocatoria dirigida a intérpretes de artes escénicas mexicanos interesados en realizar proyectos de formación, interpretación, participación en funciones o transmisión de conocimiento artístico. Se ofrecen hasta 90 estímulos económicos en las siguientes categorías: Creador escénico en formación, Creador escénico A, Creador escénico B y Creador escénico con trayectorias con residencia en México.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3901/creadores-escenicos-2025,Fondos,"Escénicas, Música, Danza, Teatro",Música,Sin cargo,,MXN,58828.00*,
Premio | Premio Nacional de Artes y Literatura (PNAL) 2025,México,Gobierno de México,"Dirigido exclusivamente a personas mexicanas por nacimiento o naturalización con trayectoria en lingüística y literatura, bellas artes, historia, ciencias sociales, filosofía o artes y tradiciones populares. No requiere pago para postulación. El premio otorga $823,313.95 MXN y medalla de oro por disciplina; no está abierto a artistas de otros países latinoamericanos.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3896/premio-nacional-de-artes-y-literatura-pnal-2025,Premio,"Literatura, Visuales",Visuales,Sin cargo,,MXN,175728.99,
Apoyo | Programa de Apoyo a la Traducción (PROTRAD) 2025,México,Secretaría de Cultura del Gobierno de México,"Dirigido a editoriales legalmente establecidas (nacionales y extranjeras) para fomentar la traducción y publicación de obras literarias. El programa abarca disciplinas como arte, estudios de género, humanidades y literatura (incluida la infantil y juvenil). Se priorizarán proyectos que destaquen el trabajo de escritoras y traductoras de lenguas originarias, promoviendo su conservación y difusión. Se pueden concursar montos de hasta $300,000 MXN para proyectos a 12 meses (Categoría A) o hasta $800,000 MXN para proyectos a 18 meses (Categoría B), con el objetivo de traducir obras entre español, otros idiomas y lenguas indígenas.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3892/protrad-2025,Apoyo,"Literatura, Traducción, Editoriales, Otras",Literatura,Sin cargo,,MXN,4268.82*,
"Premio | XVI Concurso Nacional de Fotografía ""Fiestas tradicionales de mi pueblo""",México,Secretaría de Cultura del Gobierno de México,"Dirigido a cualquier persona residente en México, preferentemente fotógrafos de la comunidad local, a capturar y documentar las Fiestas Tradicionales de su pueblo en México. Se aceptan hasta cinco fotografías inéditas por participante, tomadas entre 2023 y 2025. Los premios son de $30,000 para el primer lugar, $20,000 para el segundo, $15,000 para el tercero y $3,000 para cinco menciones honoríficas. No está abierta a artistas de Latinoamérica fuera de México.",https://convocatorias.cultura.gob.mx/vigentes/detalle/3866/XVl-concurso-fiestas-tradicionales-de-mi-pueblo,Premio,"Visuales, Fotografía",Visuales,Sin cargo,,MXN,4268.82,
Apoyo | Colombia Creativa Tercera Generación: Profesionalización de Artistas de Buenaventura,Colombia,"Ministerio de las Culturas, las Artes y los Saberes y la Universidad del Valle de Colombia","Convocatoria dirigida a artistas y formadores de música y danza residentes en Buenaventura, interesados en obtener el título de licenciatura en estas áreas. El programa se desarrollará en modalidad presencial intensiva en Cali y Buenaventura, con apoyo tecnológico, y cubrirá los gastos asociados al proceso formativo. Se requiere disponibilidad de tiempo para cursar la formación. Exclusivo para residentes en Buenaventura, Colombia.",https://www.mincultura.gov.co/convocatorias,Apoyo,"Música, Danza",Música,Sin cargo,,COP,,
Beca | CCL Fellowship 2026,EEUU,Center for Curatorial Leadership,"Dirigido a curadores sénior o consolidados de museos de arte de Norteamérica y del extranjero, seleccionando hasta doce participantes anualmente. El programa, que se extiende de enero a mayo o junio, incluye dos semanas intensivas en Nueva York con clases de la Columbia Business School, una residencia individual de cinco días con un director de museo, y una semana de cierre, enfocándose en temas como gestión del cambio, finanzas y estrategia. Los participantes deben comprometerse a una inmersión total en el programa, que cubre la mayoría de los gastos de viaje, alojamiento y alimentación.",https://www.curatorialleadership.org/programs/ccl-program/,Beca,"Otras, Curaduría, Historia del Arte",Visuales,Sin cargo,,USD,Residencia,
Residencia | PRAXIS Programa de estudios 2025,España,fluent,"La tercera edición del programa educativo presencial se desarrollará del 8 de septiembre al 12 de diciembre de 2025. Este programa de 14 semanas (180 horas) busca fomentar un aprendizaje teórico-práctico sobre los sistemas que rigen nuestra vida, estructurado en cuatro módulos: Dimensión Vital, Dimensión del Lenguaje e Identidad, Dimensión Estructural y Dimensión Corporal y en Movimiento. Se invita a postular a profesionales de diversas áreas de las artes y humanidades, ofreciendo alojamiento gratuito y cuatro becas. El programa se impartirá en inglés y español, y tiene una cuota de matrícula de 1.500 EUR, salvo para los becados.",https://fluentfluent.org/praxis,Residencia,Multidisciplinar,Otras,Pago,1500.0,EUR,1620.0,
Premio | 19º Premio Internacional Manga de Japón,Japón,Ministerio de Asuntos Exteriores de Japón,"Dirigido a personas de todo el mundo interesadas en el manga; no requiere pago; disciplina: manga (dibujo, guión y creación de cómics); el premio principal incluye trofeo y viaje financiado a Japón, sin monto de dinero estipulado; abierto a artistas de Latinoamérica.",https://www.manga-award.mofa.go.jp/en/application/19/index.html,Premio,"Otras, Manga, Ilustración",Visuales,Sin cargo,,JPY,,
Residencia | perfocraZe International Artist Residency 2026,Ghana,crazinisT artisT studiO,"Dirigido a artistas internacionales y locales a presentar sus solicitudes para la octava edición anual ( pIAR  2026) . Los seleccionados permanecerán un mínimo de cuatro semanas entre el 1 de enero y el 31 de agosto de 2026. Los artistas residentes recibirán orientación para desarrollar sus proyectos, centrándose en procesos, colaboraciones, investigaciones críticas, investigación, networking y experimentación. Los participantes tendrán la oportunidad de compartir sus experiencias mediante debates, talleres de investigación, presentaciones, charlas artísticas y conferencias con artistas, estudiantes y la comunidad local ghaneses. ",https://www.crazinistartist.com/https-www.crazinistartist.com-applyforpiar2026/,Residencia,"Visuales, Escénicas, Performance, ",Escénicas,Pago,,,Residencia,
Beca | Programa de Becas de Investigación de Archivos,EEUU,Centro David C. Driskell de la Universidad de Maryland,"El programa ofrece dos becas de residencia de bajo costo a lo largo del año académico. Cada becario recibirá un estipendio de $3,000, pagado en dos plazos, junto con apoyo para gastos de viaje y alojamiento para una residencia de corta duración de hasta tres semanas en el Centro. Se reciben solicitudes de académicos, artistas y trabajadores culturales cuyo trabajo se relacione con el arte negro, la historia del arte y la cultura visual.",https://driskellcenter.umd.edu/news/call-applications-archives-research-fellowship-program-driskell-center,Beca,"Otras, Investigación",Otras,Sin cargo,3000.0,USD,3000.0,
Convocatoria | PAMM Digital Art Commissions,EEUU,Pérez Art Museum Miami,"El programa ofrece apoyo financiero para producir obras digitales experimentales en el sur de Florida, Latinoamérica, el Caribe y la diáspora africana. Los artistas seleccionados podrán recibir premios que oscilan entre $1,000 y $15,000 durante un período estimado de 12 meses. Disciplinas: arte digital, como videoarte, cine, realidad aumentada, net art, escultura 3D, videojuegos, realidad virtual y arte generativo.",https://www.pamm.org/es/convocatoria-abierta-para-comisiones-de-arte-digital/,Convocatoria,"Visuales, Arte Digital",Visuales,Sin cargo,,USD,15000.00,
Convocatoria | Exposición Colectiva FUTURISMO,Perú,"Centro Cultural Casa Blanca, Arequipa","Dirigida a artistas nacionales e internacionales a participar en una exposición colectiva con el tema del FUTURISMO. La convocatoria está abierta a diversas disciplinas como pintura, collage, fotografía, escultura, instalación, literatura, video y performance. La exposición se inaugurará el 18 de julio de 2025 y durará aproximadamente un mes. A los artistas seleccionados se les otorgarán certificados de participación. Si bien la presentación es gratuita, los artistas no residentes deben cubrir el transporte de sus obras, o pueden optar por la impresión local (A3) por 90 soles (Perú) o 25 dólares (extranjeros) por obra. Para videos, el costo es de 50 soles (Perú) o 15 dólares (extranjeros) por video.",https://forms.gle/F4zMwo4spXdnyEL38,Convocatoria,Visuales,Visuales,Pago,,PEN,,
Convocatoria | Concurso Curatorial para el Pabellón Peruano en la 61ª Bienal de Arte de Venecia 2026,Perú,Patronato Cultural del Perú,"Dirigido a curadores y artistas peruanos para seleccionar el proyecto curatorial del Pabellón Peruano en la 61ª Bienal de Arte de Venecia 2026. Disciplina: artes visuales; únicamente abierto a peruanos, no a artistas de otros países latinoamericanos. No se informa monto de premio o apoyo económico para los seleccionados.",https://pcp.org.pe/,Convocatoria,"Visuales, Otras, Curaduría",Visuales,Sin cargo,,PEN,40000.00,
Convocatoria | Mexico International Short Film Festival - 20 SHORTS MÉXICO,México,SHORTS MÉXICO,"Convocatoria dirigida a realizadores de cortometrajes de todo el mundo, incluyendo Latinoamérica, producidos entre 2023 y 2025. Requiere pago de 6.66€ para inscripción en la competencia internacional. Abarca cortometrajes digitales, filmados en diversos formatos (35mm, 16mm, 8mm), grabados con dispositivos móviles o creados con inteligencia artificial.",https://shortsmexico.com,Convocatoria,"Cine, Cortometrajes",Cine,Pago,,EUR,,5.248.800.000.000.000
Convocatoria | Sinistro Fest,Brasil,Sinistro Fest,"Dirigido a cineastas de cualquier país; requiere pago de inscripción; disciplina: cortometrajes de terror, fantástico, animación y experimental; no se especifica un monto de premio en dinero; sí está abierta a artistas de Latinoamérica.",https://www.sinistrofest.com/en,Convocatoria,"Cine, Cortometraje",Cine,Pago,,BRL,,0.0
Convocatoria | 8 Insólito: Festival Internacional de Cine Fantástico,Peru,"El Último Cineclub SAC, Diva Producciones y la Biblioteca Miguelina Acosta",Dirigido a cineastas de cualquier nacionalidad que presenten obras de terror y fantasía. Requiere pago de inscripción. Disciplinas: cine. Abierto a participantes de Latinoamérica. El festival se llevará a cabo del 23 de octubre al 2 de noviembre en la ciudad de Lima.,https://insolitofestival.com,Convocatoria,"Cine, Terror, Fantasía",Cine,Pago,,,,0.0
Convocatoria | XIV Festival de Cortometrajes K-lidoscopi,España,K-lidoscopi Associació Cultural,"Dirigido a cineastas residentes en España a presentar cortometrajes (Argumental, Documental o Animación) de entre 1 y 30 minutos de duración, producidos a partir de 2024. requiere pago para participar. Disciplinas: cine en formato cortometraje. Las obras pueden ser en cualquier idioma, pero requieren subtítulos en valenciano o español si el original no está en uno de estos. El festival se realizará del 15 al 18 de octubre de 2025 en Cullera, España.",https://festhome.com/festival/3827,Convocatoria,"Cine, Cortometraje",Cine,Pago,,EUR,,3.456
Convocatoria | Festival CalleContemporánea Bejís 2025,España,Artèria Cultural,"Dirigido a creadoras y creadores de las artes escénicas y performativas; no requiere pago para ser considerado; disciplinas: danza contemporánea, teatro físico y performance; la oportunidad asigna un caché de 1.000 € por compañía seleccionada; está abierta internacionalmente, incluyendo artistas de Latinoamérica.",https://arteriagestiocultural.es/proyectos_2/ccb-bejis2/,Convocatoria,"Escénicas, Danza, Performance, Microteatro",Escénicas,Sin cargo,1000.0,EUR,1080.0,
Premio | “Art on Climate” International Illustration Competition,Hong Kong,Fingertips Company Limited,"Dirigido a personas mayores de 18 años de cualquier país, sin costo de inscripción. Disciplinas: ilustración y animación (video); se otorgan premios de hasta 2.000 euros. Abierto a artistas de Latinoamérica.",https://www.artonclimate.com,Premio,"Otras, Ilustración, Animación, Audiovisual",Música,Sin cargo,9000.0,EUR,10587.49,
Beca | Laçzos Artísticos Programa de Movilidad Internacional,Portugal,OEI - Direção-Geral das Artes de Portugal,"Dirigido a artistas individuales mayores de 18 años, residentes o nacionales de un país miembro de la OEI y/o miembro de la CPLP. Este programa busca impulsar el intercambio y perfeccionamiento artístico en Iberoamérica y la Comunidad de Países de Lengua Portuguesa. Las áreas artísticas aceptadas incluyen artes visuales, artes escénicas, artes callejeras e interdisciplinariedad. Es importante destacar que no se permiten proyectos en el mismo país de residencia del solicitante. Otorga 2.250 euros a cada uno de los 11 seleccionados y está abierta para artistas de Latinoamérica.",https://oei.int/oficinas/portugal/programas/laczos-artisticos/,Beca,Multidisciplinar,Otras,Sin cargo,2250.0,EUR,2430.0,
Fondos | Ayuda a la programación musical 2025,Múltiples Países,Ibermúsicas,"Dirigida a festivales, ferias, mercados, salas de concierto y otras instituciones culturales, educativas y entidades públicas y privadas de 15 países iberoamericanos que estén registradas en el Catálogo de Ibermúsicas. Su objetivo es incentivar la invitación de agentes del sector musical de otros países para participar en sus programaciones y eventos, cubriendo exclusivamente los gastos de traslado de los invitados. El monto máximo de ayuda por proyecto es de USD 8.000 (ocho mil dólares estadounidenses) o € 8.000 (ocho mil euros) para proyectos de España y Portugal. Se priorizarán propuestas conjuntas entre instituciones de distintas ciudades para fomentar corredores culturales, y la ayuda se destina únicamente a la movilidad de agentes musicales no domiciliados en el país de la entidad solicitante.",https://www.ibermusicas.org/index.php/convocatorias/,Fondos,"Música, Festivales, Eventos, Ciclos",Música,Sin cargo,8000.0,EUR,8640.0,
Premio | Giga-Hertz Production Awards 2025,Alemania,ZKM | Hertz-Lab / SWR Experimentalstudio,"Dirigido a compositores de cualquier país, sin restricción geográfica, que trabajen en música electrónica, arte sonoro, performance experimental e interdisciplinar. No requiere pago para participar. El monto por premio de producción es de 5.000 €, y la convocatoria está abierta para artistas de Latinoamérica.",https://zkm.de/en/open-call-giga-hertz-award-2025,Premio,"Música, Composición, Música electrónica, Arte sonoro",Música,Sin cargo,5000.0,EUR,5400.0,
Residencia | ‘Hit the Wall’ 2025 International Young Artists Residency on Mural Art,Taiwan,Taipei City Government,"Dirigido a artistas individuales de entre 20 y 45 años, especializados en pintura plana, grafiti, muralismo o disciplinas interdisciplinarias afines. Se seleccionarán hasta ocho artistas internacionales. Este programa ofrece a los artistas internacionales pasajes de ida y vuelta en clase turista y gastos de transporte. Además, todos los artistas residentes participantes recibirán estipendios para gastos de manutención, materiales creativos, herramientas y alojamiento. El período de residencia está previsto entre el 1 de septiembre y el 1 de diciembre de 2025. La duración de la residencia será de al menos 30 días y un máximo de 90 días.",https://english.gov.taipei/News_Content.aspx?n=A11F01CFC9F58C83&s=213C21B2A606700D,Residencia,"Visuales, Diseño, Grafiti, Muralismo",Diseño,Sin cargo,,,,
Residencia | In-Ruins Contemporary Art and Archaeology Residency 2025,Italia,Associazione Archeofuturo,"Dirigido a artistas, curadores e investigadoras de cualquier nacionalidad, para presentar solicitudes para la Residencia de Arte Contemporáneo y Arqueología In-Ruins en Puglia, Italia, del 8 de septiembre al 12 de octubre de 2025. Disciplinas: arte contemporáneo y arqueología. Los organizadores proporcionan un presupuesto de producción (1000 EUR por residente), desayunos, cenas y almuerzos con descuento, alojamiento, espacios de estudio, acceso a sitios patrimoniales y una tarifa de participación de 500 EUR (como compensación, reembolso de gastos de viaje y cualquier costo de envío relacionado con el trabajo producido). A cambio, el artista se compromete a donar a la Associazione Archeofuturo una prueba, un borrador o una obra de pequeño formato creada durante la residencia.",https://www.inruins.org/in-ruins-2025,Residencia,"Visuales, Diseño, Arquitectura, Investigación, Curaduría",Diseño,Sin cargo,,EUR,9000.00*,
Residencia | Platform Residency 2026 on Resistance and Acts of Repair,Finlandia,Platform – Art Space + Residency,"Dirigido a artistas que estén interesados en explorar las ideas interconectadas de resistencia y reparación, no como categorías fijas, sino como prácticas relacionales en evolución que dan forma a cómo respondemos al mundo que nos rodea. La residencia ofrece alojamiento, estudio, gastos de viaje (un viaje de ida y vuelta, el más económico) y una beca de trabajo (basada en dietas, de aproximadamente 300 EUR semanales). También ofrece un pequeño presupuesto de producción de 1000 EUR.",http://www.platform.fi/index.php/residency-program/,Residencia,Multidisciplinar,Otras,Sin cargo,300.0,EUR,324.0,
"Residencia | Residencia ""Cuerpos, Máquinas, Públicos"" 2025",India,Khoj,"Dirigido a artistas de Chile, India, Países Bajos y Reino Unido; no requiere pago para postular. Disciplinas: prácticas artísticas que exploran la relación entre cuerpo, tecnología y espacio público (artes visuales, digitales, performativas, entre otras). Se cubrirá los gastos de viaje , alojamiento en sus instalaciones, viáticos y un presupuesto de producción de hasta 200.000 INR para cada artista. No está abierta a artistas de Latinoamérica fuera de Chile. ",https://khojstudios.org/programme/bodies-machines-publics/edition-2025/,Residencia,"Escénicas, Danza, Performance, Otras",Escénicas,Sin cargo,,,Residencia,
Convocatoria | Malta Biennale 2026 International Calls: Artists,Malta,Heritage Malta - Consejo de las Artes de Malta ,"Dirigida a artistas locales e internacionales, sin restricción geográfica (incluyendo latinoamericanos), y no requiere pago para postular. Disciplinas: todas las artes visuales (instalación, pintura, escultura, performance, fotografía, video y proyectos multidisciplinarios). El monto máximo por proyecto seleccionado es de 13,000 euros. CLEAN | CLEAR | CUT es el título oficial de la segunda edición de la Bienal de Malta, que tendrá lugar en varios sitios y ubicaciones históricas de Malta y Gozo del 11 de marzo al 29 de mayo de 2026, con la comisaria internacional Rosa Martínez como directora artística.",https://maltabiennale.art/maltabiennale-art-2026-title-announced-and-calls-launched/,Convocatoria,Visuales,Visuales,Sin cargo,13000.0,EUR,,
Residencia | Programa de Artistas en Residencia (PAIR) 2026 del Pier-2 Art Center,Taiwan,Pier-2 Art Center,"Dirigido a artistas y colectivos de todas las nacionalidades con al menos dos años de experiencia (y licenciatura para estudiantes), que puedan comunicarse en inglés. Disciplinas: artes visuales, música, teatro, cine, industrias culturales y creativas, entre otras. Ofrece estudio, alojamiento, viáticos diarios (NTD 800), pasaje de avión o tren, y fondos para materiales, además de un gestor de proyectos. Los interesados deben presentar un plan de residencia que integre la cultura local de Kaohsiung y un portafolio. Está abierta a artistas de Latinoamérica.",https://www.pier2air.tw/en/apply/,Residencia,Multidisciplinar,Otras,Sin cargo,,,16380.48*,
Convocatoria | Exposición virtual “Drawing Resistance: The Artist’s Dilemma in Political Conflict”,EEUU,Woman Made Gallery (WMG),"Dirigido a artistas mujeres y no binarias de todo el mundo, incluida Latinoamérica; requiere un pago de $15 para participar. Disciplinas: todas las artes visuales y medios. No se especifica monto de premio o pago para artistas seleccionados.",https://womanmade.org/call-for-art/,Convocatoria,Visuales,Visuales,Pago,15.0,USD,,
Convocatoria | Exposición Colectiva “Home” 2025,Reino Unido,Glasgow Gallery of Photography,"Dirigida a fotógrafos emergentes y establecidos. No requiere un pago para ser considerado, pero sí un fee de £48 si se es seleccionado. La disciplina artística involucrada es la fotografía, y está abierta a artistas de todo el mundo, incluyendo Latinoamérica.",https://www.glasgowgalleryofphotography.com/exhibition/home-2025,Convocatoria,"Visuales, Fotografía",Visuales,Pago,48.0,GBP,,
Convocatoria | Exposición Colectiva Urban 2025,Reino Unido,Glasgow Gallery of Photography,"Dirigida a fotógrafos emergentes y consolidados de todo el mundo, sin necesidad de ser profesional. No requiere pago para la postulación, pero los seleccionados abonan una cuota de participación. Disciplina: fotografía. No se otorga premio monetario, pero sí exposición física y digital y posibilidad de reconocimiento como Fotógrafo del Mes; está abierta a artistas de Latinoamérica.",https://www.glasgowgalleryofphotography.com/exhibition/urban-2025,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,GBP,,
Convocatoria | Cats Exhibition + Exclusive Publication Edition,España,Barbagelata Contemporary Art Foundation,"Dirigida a artistas de todas las nacionalidades y disciplinas (fotografía, pintura, dibujo, ilustración, cuentos, ensayos, poesía, textiles, escultura y técnicas mixtas) a enviar obras inspiradas en la figura del gato para una exposición en línea que se inaugurará en agosto de 2025 y una publicación de lujo de edición limitada en septiembre de 2025. La postulación es gratuita, pero se aplica una tarifa de selección de 40 € (45 $) solo a los artistas elegidos, con opción a exención por dificultades económicas.",https://www.barbagelata.org/cats-open-call--exhibition--exclusive-magazine,Convocatoria,"Visuales, Literatura",Visuales,Pago,40.0,EUR,,
Residencia | Programa Residencia Artísticas Ceramic Res,España,Co-net Art,"Dirigido a artistas individuales nacionales o internacionales, mayores de edad y con conocimientos de castellano, interesados en la cerámica contemporánea en su sentido más amplio. El objeto es la investigación y producción de proyectos inéditos que vinculen la creación cerámica con el territorio de l'Alcora, requiriendo una estancia ininterrumpida. La residencia se desarrollará del 15 de septiembre al 15 de diciembre de 2025. Los artistas seleccionados recibirán 3.200 euros (honorarios y producción), alojamiento en piso compartido, espacio de trabajo en la ESCAL con acceso a instalaciones específicas y apoyo técnico puntual, además de encuentros con profesionales del sector y oportunidades de exposición (open studio y Feria Marte).  Los artistas deberán ceder sus obras a Co-net por un año para exposiciones colectivas y cubrir sus gastos de viaje y seguro médico.",https://www.conetart.com/open-call-ceramicres,Residencia,"Visuales, Diseño, Cerámica",Diseño,Sin cargo,3200.0,EUR,3456.0,
Residencia | Ceramic Residency Program 2025-26,EEUU,Pittsburgh Center for Arts and Media,"Residencia artística en cerámica de 8 a 9 meses (septiembre a mayo), dirigida a artistas cerámicos emergentes, especialmente de grupos subrepresentados, con título en Bellas Artes o trayectoria consolidada. La residencia incluye espacio de estudio, materiales, acceso a equipamiento especializado, exposición individual, oportunidades de enseñanza y un estipendio mensual de USD 500. Se requiere compromiso comunitario, trabajo en el estudio y un proyecto de mejora. No cubre viaje ni alojamiento, y está enfocada principalmente en artistas locales o con posibilidad de residencia en Pittsburgh.",https://pghartsmedia.org/ceramic-residency-program/,Residencia,"Visuales, Cerámica",Visuales,Sin cargo,500.0,USD,500.0,
Convocatoria | Imaginando Ciudades en el Festival Nine Elephants,Bulgaria,Centro para la Visión Social - Festival Nine Elephants,"La convocatoria Imaginando Ciudades forma parte del Festival Nine Elephants (Sofía, julio 2025) y está dirigida a artistas emergentes, curadores, investigadores y trabajadores de la cultura de cualquier país, incluyendo Latinoamérica. Busca propuestas como presentaciones, talleres, performances o caminatas que aborden críticamente el espacio urbano desde enfoques situados y experimentales. No cubre gastos de viaje ni alojamiento, pero ofrece un reembolso de hasta 200 € a cinco participantes sin otra financiación. Se valoran propuestas que fomenten el intercambio, la reflexión colectiva y las prácticas a largo plazo sobre el entorno urbano. No se especifica si se aceptan propuestas de países latinoamericanos.",https://centerforsocialvision.org/imagining-cities/,Convocatoria,Multidisciplinar,Otras,Sin cargo,200.0,EUR,216.0,
Convocatoria | Propuestas para Exhibiciones,EEUU,"The Studios of Key West, Florida.","Dirigida a artistas y curadores de cualquier parte del mundo, no requiere pago para participar, abarca principalmente artes visuales y está abierta a artistas de Latinoamérica.",https://tskw.org/propose-an-exhibition/,Convocatoria,Visuales,Visuales,Sin cargo,,USD,,45.0
