Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Requisitos,Robot Requisitos,Obtener Disciplina,Requisitos,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Inscripcion
Convocatoria | Exposición Fotográfica Square,Convocatoria | Exposición Fotográfica Square,,https://decodegallery.com/square-call-for-entry,EEUU,"April 11, 2025",Yes,Decode Gallery,,No,"Dirigido a fotógrafos de cualquier nacionalidad. Requiere un pago de $40 USD por entrada (hasta 10 imágenes). Disciplina: fotografía en formato cuadrado (1:1) en cualquier género. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",,https://decodegallery.com/square-call-for-entry,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:22 PM",Falopa,,No,No,,No,,,No,,,Pago
Convocatoria |  Salón de Artes Visuales de La Pampa. Sección Grabado 2025,Convocatoria |  Salón de Artes Visuales de La Pampa. Sección Grabado 2025,Destacar,https://apn.lapampa.gob.ar/nota/detalle/id/27055/Abre-la-convocatoria-para-el-Saln-de-Grabado-2025,Argentina,"May 13, 2025",Yes,"Museo Provincial de Artes (MPArtes), Secretaría de Cultura de La Pampa",,No,"Dirigido a artistas visuales argentinos y extranjeros con al menos dos años de residencia en Argentina, mayores de 18 años. Los artistas podrán participar con sólo una (1) obra. La temática será libre. Disciplina: grabado en relieve, grabado planográfico, grabado en hueco, y técnicas gráficas experimentales (técnicas mixtas, objetos gráficos, libros de artista con tiraje, gráficos digitales). Un primer premio de $1.200.000, un segundo premio de $1.100.000 y un premio especial a la mejor obra de autoría pampeana de $1.200.000. ",,https://apn.lapampa.gob.ar/nota/detalle/id/27055/Abre-la-convocatoria-para-el-Saln-de-Grabado-2025,Convocatoria,"Visuales, Grabado","April 5, 2025 10:25 PM",Destacar?,,No,No,,No,,,No,,,Sin cargo
Convocatoria | Secret Garden Online Art Competition 2025,Convocatoria | Secret Garden Online Art Competition 2025,,https://tenmoirgallery.com/secret-garden-2025-online-art-competition/,Virtual,"May 1, 2025",Yes,Ten Moir Gallery,,No,Dirigido a artistas y fotógrafos de todo el mundo mayores de 18 años. Requiere un pago de $12 por obra presentada. Disciplinas: artes visuales en formatos 2D y 3D inspirados en flora y fauna. Abierto a artistas de Latinoamérica.,,https://tenmoirgallery.com/secret-garden-2025-online-art-competition/,Convocatoria,"Visuales, Pintura, Fotografía, Dibujo","April 5, 2025 10:27 PM",Falopa,,No,No,,No,,,No,,,Pago
Premio | Concurso Aprendiendo a descubrir. El mejor legado de Sarmiento,Premio | Concurso Aprendiendo a descubrir. El mejor legado de Sarmiento,,https://casanatalsarmiento.cultura.gob.ar/noticia/bases-y-condiciones-concurso-aprendiendo-a-descubrir-el-legado-de-sarmiento/,Argentina,"April 30, 2025",Yes,Casa Natal de Sarmiento – Museo y Biblioteca,,No,"Dirigido a personas mayores de 18 años sin restricciones de nacionalidad. Se invita a todos los interesados a capturar, a través del lente, el impacto y la trascendencia del legado de Domingo Faustino Sarmiento en la sociedad argentina. No requiere pago. Disciplina: fotografía. Abierto a participantes de todo el mundo.",,https://casanatalsarmiento.cultura.gob.ar/noticia/bases-y-condiciones-concurso-aprendiendo-a-descubrir-el-legado-de-sarmiento/,Premio,"Visuales, Fotografía","April 5, 2025 10:27 PM",,,No,No,,No,,,No,,,Sin cargo
Convocatoria | Exposición Fotográfica Black and White,Convocatoria | Exposición Fotográfica Black and White,,https://decodegallery.com/bw,EEUU,"May 23, 2025",Yes,"Decode Gallery de Tucson, Arizona",,No,"Dirigido a fotógrafos internacionales interesados en el blanco y negro. Requiere pago de inscripción. Disciplina: fotografía. Abierto a artistas de todo el mundo, incluida Latinoamérica.",,https://decodegallery.com/bw,Convocatoria,"Visuales, Fotografía","April 5, 2025 10:27 PM",Falopa,,No,No,,No,,,No,,,Pago
Convocatoria | True Blue Online Art Competition 2025,Convocatoria | True Blue Online Art Competition 2025,,https://tenmoirgallery.com/true-blue-2025-online-art-competition/,Virtual,"April 30, 2025",Yes,Ten Moir Gallery,,No,Dirigido a artistas y fotógrafos mayores de 18 años de todo el mundo. Requiere un pago de $12 por cada obra enviada. Disciplinas: artes visuales en formatos 2D y 3D.  Tema relacionado con el Azul y las múltiples tonalidades de azul. Abierto para artistas de Latinoamérica.,,https://tenmoirgallery.com/true-blue-2025-online-art-competition/,Convocatoria,"Visuales, Fotografía, Pintura, Dibujo","April 5, 2025 10:28 PM",Falopa,,No,No,,No,,,No,,,Pago
Convocatoria | FUTURA 5: herramientas para una cultura en movimiento,Convocatoria | FUTURA 5: herramientas para una cultura en movimiento,,https://www.cceba.org.ar/formacion/futura-5-herramientas-para-una-cultura-en-movimiento,Argentina,"April 11, 2025",Yes,CCEBA - Fundación Williams,,No,"Dirigido a gestores y creadores culturales de toda Argentina. Disciplinas: gestión cultural y enfoques interdisciplinarios en cultura, educación, salud, ambiente, tecnología, entre otros. Consta de tres etapas, la primera de formación a cargo de referentes del sector cultural y posteriormente, la etapa de acompañamiento profesional en el desarrollo e implementación de proyectos.",,https://www.cceba.org.ar/formacion/futura-5-herramientas-para-una-cultura-en-movimiento,Convocatoria,"Otras, Gestión Cultural, Organizaciones Culturales, Creadores","April 5, 2025 10:30 PM",,,No,No,,No,,,No,,,
Convocatoria | Exploración visual y sonora. El proceso creativo de The Rhythm of the Ocean,Convocatoria | Exploración visual y sonora. El proceso creativo de The Rhythm of the Ocean,,https://www.cceba.org.ar/medialab/exploracion-visual-y-sonora,Argentina,"April 28, 2025",Yes,CCEBA MediaLAB,,No,"Convocatoria para inscribirse en el Seminario ONLINE a cargo de Desilence (Tatiana Halbach y Søren Christensen) que se llevará a cabo el 28 y 30 de abril 2025 de 15 a 17h (Argentina) 20 a 22h (España). Dirigido a artistas visuales, músicos, diseñadores, creativos y cualquier persona interesada en la fusión entre arte, tecnología y sonido.",,https://www.cceba.org.ar/medialab/exploracion-visual-y-sonora,Convocatoria,"Música, Visuales, Diseño, Arte Sonoro, Tecnología, Audiovisual","April 5, 2025 10:30 PM",,,No,No,,No,,,No,,,
Convocatoria | 27 Mecal Festival Internacional de Cortometrajes y Animación de Barcelona,Convocatoria | 27 Mecal Festival Internacional de Cortometrajes y Animación de Barcelona,,https://festhome.com/festival/38,España,"April 15, 2025",Yes,MECAL PRO. Festival Internacional de Cortometrajes y Animación de Barcelona,,No,"Se convoca a cineastas de todo el mundo —incluyendo estudiantes y jóvenes talentos— a presentar obras audiovisuales de hasta 30 minutos realizadas a partir de enero de 2023. La convocatoria, de temática libre, incluye secciones competitivas de Ficción, Animación, Oblicua y Documental, y contempla numerosos premios otorgados por jurados especializados y el público.",,http://www.mecalbcn.org/,Convocatoria,"Cine, Cortometraje, Animación","April 8, 2025 8:06 AM",,,No,No,,No,,,No,,,Pago
Convocatoria | Festival Internacional de Cine de Valdivia,Convocatoria | Festival Internacional de Cine de Valdivia,,https://festhome.com/festival/616,Chile,"April 25, 2025",Yes,Festival Internacional de Cine de Valdivia,,No,"Dirigido a cineastas de todo el mundo. Requiere pago de inscripción. Disciplina: cine. Abierto a artistas de América Latina. El Festival Internacional de Cine de Valdivia exhibe cine chileno e internacional en cinco categorías competitivas: Largometraje, Largometraje Juvenil, Cortometraje de Latinoamérica y el Caribe, Cortometraje Infantil de Latinoamérica y el Caribe, y Cortometraje Chileno de Estudiantes de Cine y Audiovisual. El certamen tendrá lugar en la ciudad de Valdivia entre el 13 y el 19 de octubre de 2025.",,https://festhome.com/festival/616,Convocatoria,Cine,"April 8, 2025 8:06 AM",,,No,No,,No,,,No,,,Pago
Convocatoria | Bengaluru International Short Film Festival,Convocatoria | Bengaluru International Short Film Festival,,https://festhome.com/festival/1177,India,"April 30, 2025",Yes,Bengaluru International Short Film Festival,,No,"Dirigido a cineastas que presenten cortometrajes de ficción, documental y experimental. Requiere pago para ser considerado. Disciplinas: cine. Abierto a artistas de América Latina y el Caribe.",,https://bisff.in,Convocatoria,"Cine, Cortometrajes","April 8, 2025 8:06 AM",,,No,No,,No,,,No,,,Pago
Convocatoria | CineBH - Belo Horizonte International Film Festival ,Convocatoria | CineBH - Belo Horizonte International Film Festival ,,https://festhome.com/festival/7803,Brasil,"May 5, 2025",Yes,Cine BH,,No,"Dirigido a cineastas y productores de cine. Requiere pago. Disciplina: cine. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",,https://cinebh.com.br,Convocatoria,Cine,"April 8, 2025 8:07 AM",,,No,No,,No,,,No,,,Pago
Convocatoria | 21° Festival Court Métrange ,Convocatoria | 21° Festival Court Métrange ,,https://festhome.com/festival/7718,Francia,"May 18, 2025",Yes,Festival Court Métrange,,No,"Dirigido a cineastas de todo el mundo con cortometrajes Fantásticos, Extraños e Inusuales. El Festival tiene como objetivo promover y popularizar la creación de cortometrajes de ficción y freak 'n fantastic. Requiere pago para la inscripción. Disciplina: cine. Abierto a participantes de América Latina.",,https://courtmetrange.eu/en/,Convocatoria,"Cine, Cortometraje","April 8, 2025 8:08 AM",,,No,No,,No,,,No,,,Pago
Convocatoria | LA Shorts International Film Festival,Convocatoria | LA Shorts International Film Festival,,https://festhome.com/festival/1983,EEUU,"May 2, 2025",Yes,LA Shorts International Film Festival,,No,"Dirigido a cineastas de cualquier nivel de experiencia. Requiere pago para participar. Disciplina: cine, específicamente cortometrajes. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",,https://www.lashortsfest.com,Convocatoria,"Cine, Cortometrajes","April 8, 2025 8:08 AM",,,No,No,,No,,,No,,,Pago
Residencia | Loop Art Critique & Laura Hyunjhee Kim,Residencia | Loop Art Critique & Laura Hyunjhee Kim,,https://www.artconnect.com/opportunity/vtzF4qX9t6VradfrAdg0B,EEUU,"April 29, 2025",Yes,Loop Art Critique,,No,"Dirigido a artistas que utilicen herramientas digitales, medios interactivos, vídeo y tecnologías inmersivas, así como medios tradicionales que puedan integrarse en un entorno espacial de Internet. El LAC opera en un espacio virtual, la mayoría de las obras presentadas son digitales. Los artistas seleccionados participarán en un club de crítica de 6 semanas que se reúne 2 veces por semana en el metaverso de Loop.",,https://loop.onland.io,Residencia,"Visuales, Arte digital, Nuevos medios, Video, Medios interactivos, Tecnologías Inmersivas","April 8, 2025 8:56 AM",,,No,No,,No,,https://loop.onland.io,No,,,
Convocatoria | CICA Contemporary Art Solo Show Series Spring 2026,Convocatoria | CICA Contemporary Art Solo Show Series Spring 2026,,https://www.artconnect.com/opportunity/avWsMZ2w4Lv4NHx-JYuWs,Corea del Sur,"April 14, 2025",Yes,CICA Museo de Arte Moderno,,No,"Dirigido a artistas de todo el mundo interesados en exposiciones individuales de arte contemporáneo. Requiere pago para participar. Cada artista seleccionado tendrá una exposición individual durante una semana entre enero y junio de 2026 en la galería de unos 44 m2. Las categorías incluyen: Pintura, Fotografía, Escultura e Instalación, Performance, vídeo y arte de nuevos medios. ",,https://cicamuseum.com/call-for-artists-contemporary-art-solo-show-series/,Convocatoria,"Visuales, Pintura, Fotografía, Escultura, Instalación, Performance, Video, Nuevos medios","April 8, 2025 9:03 AM",,,No,No,,No,,https://cicamuseum.com/call-for-artists-contemporary-art-solo-show-series/,No,,,Pago
Residencia | LGBTQ+ Visual Artist Residency 2025,Residencia | LGBTQ+ Visual Artist Residency 2025,,https://www.artconnect.com/opportunity/h1oqNObMK60S53b5dH7jj,EEUU,"April 13, 2025",Yes,,,No,"Dirigido a artistas visuales LGBTQ+ mayores de 18 años. Requiere pago. Disciplina: artes visuales. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",,https://velvetparkmedia.com/application2025/,Residencia,Visuales,"April 8, 2025 9:03 AM",Falopa,,No,No,,No,,https://velvetparkmedia.com/application2025/,No,,,Pago
Residencia | Travelling Print Residency,Residencia | Travelling Print Residency,,https://www.artconnect.com/opportunity/QoKu6tbIqEDtSQvjXNZMS,Bulgaria,"April 14, 2025",Yes,Nopoint Atelier,,No,"una residencia itinerante de impresión combina un viaje por carretera de 7 días, empezando por el sur y siguiendo hacia el norte, y el trabajo artístico con impresión. Dirigido a artistas gráficos y grabadores interesados en explorar técnicas de impresión. Requiere pago. Disciplinas: grabado y diseño gráfico. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",,https://www.nopointatelier.com/2025-travelling-print-residency,Residencia,"Visuales, Grabado, Diseño","April 8, 2025 9:03 AM",,,No,No,,No,,https://www.nopointatelier.com/2025-travelling-print-residency,No,,,Pago
Residencia | Inhouse Print Residency,Residencia | Inhouse Print Residency,,https://www.artconnect.com/opportunity/SCL5JoEW_23FJURj6kpD8,Bulgaria,"April 14, 2025",Yes,Nopoint Atelier,,No,"Dirigido a artistas y colectivos interesados en las artes gráficas y la impresión. No requiere pago de inscripción, pero tiene costo de €1,250 por dos semanas. Disciplinas: artes gráficas y técnicas de impresión. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",,https://www.nopointatelier.com/2025-inhouse-print-residency,Residencia,"Visuales, Artes Gráficas, Impresión","April 8, 2025 9:03 AM",,,No,No,,No,,https://www.nopointatelier.com/2025-inhouse-print-residency,No,,,Pago
Residencia | 2026 Sound Art + Experimental Music Artists-In-Residence,Residencia | 2026 Sound Art + Experimental Music Artists-In-Residence,,https://www.artconnect.com/opportunity/APXvaArL0xfziXazTRO7p,EEUU,"April 14, 2025",Yes,Bemis Center for Contemporary Arts,,No,"La convocatoria invita a dos artistas que trabajen con sonido, composición, voz y herramientas experimentales, tanto nacionales como internacionales, a participar en un programa de residencia. Durante su estancia, recibirán apoyo económico, técnico y administrativo, además de espacios para ensayar, grabar e interpretar sus obras. Los artistas pueden elegir entre tres periodos de residencia en 2026. Los artistas internacionales podrán recibir el reembolso de gastos calificados. Requiere pago de inscripción de U$D40.-",,https://bemis.slideroom.com/#/login/program/82605,Residencia,"Música, Arte Sonoro, Nuevos Medios, Experimental","April 8, 2025 9:04 AM",,,No,No,,No,,https://www.bemiscenter.org/residency/sound-art-experimental-music,No,,,Pago
Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia,Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia,,https://www.artconnect.com/opportunity/60EuSXNIWFRPqLQznoDK9,Canadá,"April 14, 2025",Yes,"Centro Mark S. Bonham para Estudios sobre la Diversidad Sexual, Universidad de Totonto",,No,"La Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia está dirigida a artistas interesados en explorar temáticas queer y trans. Requiere pago. Disciplinas: artes visuales, performance y multimedia. Abierto a artistas internacionales, incluidos latinoamericanos.",,https://www.artconnect.com/opportunity/60EuSXNIWFRPqLQznoDK9,Residencia,"Multidisciplinar, Fotografía, Escultura, Visuales, Artes mediáticas, Teatro, Poesía, Performance, Arte Sonoro","April 8, 2025 9:04 AM",Fuera del Universo,,No,No,,No,,https://sds.utoronto.ca/the-artist-in-residence/,No,,,
