Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Categoría,Created time,Obtener Base URL,Obtener BASE URL?,Base URL,Og_Resumida,Disciplina,Robot Requisitos,Agenda 2030,Estado de la oportunidad,Inscripcion,Disciplina Limpia,Monto,Moneda,Monto_USD,Significativa,Premio_USD,Inscripcion_USD_web,Significativa_400
Convocatoria | Feria en Obra 2025,Convocatoria | Feria en Obra 2025,,https://www.fundacionenobra.com/feria-en-obra2,Chile,"April 11, 2025",Yes,Fundación en Obra - Corporación Municipal de San Miguel,Convocatoria,"March 29, 2025 10:18 PM",,No,https://www.fundacionenobra.com/feria-en-obra2,"Dirigido a artistas de diversas trayectorias (emergentes y consolidados), curadores, estudiantes y gestores culturales de Chile. Disciplinas: artes visuales. La feria se llevará a cabo en la Casa de la Cultura de San Miguel, en la sala Fray Pedro Subercaseaux (La Cava).  Los artistas seleccionados deberán pagar el espacio de exhibición.",Visuales,,No,,Pago,Visuales,,CLP,,False,,,False
Premio Bienal Pilar Juncosa de Creación Artística ...,Premio | Premio Bienal Pilar Juncosa de Creación Artística,,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/#premiBiennar,España,"July 31, 2025",Yes,Fundació Miró Mallorca,Premio,"March 29, 2025 10:18 PM",,No,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/#premiBiennar,"Dirigido a artistas interesados en proyectos relacionados con la obra seriada o arte múltiple en todas sus posibles manifestaciones (escultura, cerámica, vídeo, fotografía, obra gráfica, etc) y que pueda desarrollarse todo o en parte en los Talleres de Obra Gráfica de Joan Miró de la Fundació. Requiere pago de inscripción de 1,5€ derivados de la plataforma de gestión. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.","Visuales, Obra seriada, Obra Gráfica",,No,,Pago,Diseño,1.5,EUR,1.62,False,32400.000000000004,,True
Residencia | Thirdspace: Programa Intensivo de Verano para Artistas Emergentes,Residencia | Thirdspace: Programa Intensivo de Verano para Artistas Emergentes,,https://apply.ocadu.ca/register/thirdspace,Canadá,"May 13, 2025",Yes,Universidad OCAD,Residencia,"March 29, 2025 10:19 PM",,No,https://apply.ocadu.ca/register/thirdspace,"Dirigido a artistas emergentes, estudiantes actuales, recién graduados y profesionales en etapas tempranas o nuevas direcciones de su práctica. Requiere pago. Disciplinas: artes visuales y diseño. Abierto a artistas de América Latina.","Visuales, Diseño",,No,,Pago,Diseño,,CAD,,False,,,False
Premio | Premio XENO 2025 de Libros de Artista,Premio | Premio XENO 2025 de Libros de Artista,,https://franklinfurnace.org/artist-books/,EEUU,"July 5, 2025",Yes,"Franklin Furnace Archive, Inc.",Premio,"March 29, 2025 10:20 PM",,No,https://franklinfurnace.org/xenoprize/,"Dirigido a artistas independientes de diversas disciplinas que residen en Estados Unidos y tengan 18 años o más, incluidos estudiantes. Ofrece una subvención de $5000, dividida en dos pagos: $2500 al ser seleccionado y $2500 adicionales tras la entrega de 100 copias de un libro de artistas, idealmente para abril de 2026. ","Otras, Libro de Artista",,Yes,Fuera del Universo,Sin cargo,Otras,100.0,COP,0.026,False,,,False
Convocatoria | Chaos Code. Concurso Internacional de Arte de Nueva York 2025,Convocatoria | Chaos Code. Concurso Internacional de Arte de Nueva York 2025,,https://www.whitelockartcenter.com/chaos-code,EEUU,"April 10, 2025",Yes,Centro de Arte Whitelock,Convocatoria,"March 29, 2025 10:22 PM",,No,https://www.whitelockartcenter.com/chaos-code,"Dirigido a artistas, estudiantes y entusiastas del arte mayores de 18 años de todo el mundo. Requiere un pago de $45 USD. Disciplinas: pintura, escultura, fotografía, arte digital, nuevos medios, arte generado por IA, entre otros. Abierto a artistas de América Latina.","Visuales, Pintura, Escultura, Fotografía, Video, Nuevos Medios, Instalación, Arte Digital, Tecnología, Arte de IA",,No,Falopa,Pago,Cine,45.0,USD,45.0,False,,45.0,False
Premio | XXIX Premio de Pintura Indalecio Hernández Vallejo,Premio | XXIX Premio de Pintura Indalecio Hernández Vallejo,,https://www.valenciadealcantara.es/index.php/cultura-y-patrimonio/566-convocado-el-xxix-premio-de-pintura-indalecio-hernandez-vallejo,España,"September 15, 2025",Yes,Ayuntamiento de Valencia de Alcántara - Excma. Diputación de Cáceres - Fundación Indalecio Hernández Vallejo,Premio,"March 29, 2025 10:22 PM",,No,https://www.valenciadealcantara.es/index.php/cultura-y-patrimonio/566-convocado-el-xxix-premio-de-pintura-indalecio-hernandez-vallejo,"Dirigido a artistas nacionales e internacionales, sin requerir pago para participar. Disciplina: pintura. La temática y la técnica serán libres. Las medidas de las obras no podrán ser superiores a 150 cm x 150 cm. Se podrá participar con un máximo de dos obras, y que no hayan sido premiadas con anterioridad. Exposción de los seleccionados, un único premio de 1800 euros y un Accésit de 900 euros.Está abierto a artistas de Latinoamérica.","Visuales, Pintura",,No,,Sin cargo,Visuales,800.0,EUR,864.0,True,,,False
Premio | IX Premio Internacional de Fotografía Santiago Castelo,Premio | IX Premio Internacional de Fotografía Santiago Castelo,,https://unescoextremadura.com/convocada-la-ix-edicion-del-premio-internacional-de-fotografia-santiago-castelo/,España,"May 11, 2025",Yes,Asociación de Extremadura para la UNESCO,Premio,"March 29, 2025 10:25 PM",,No,https://unescoextremadura.com/convocada-la-ix-edicion-del-premio-internacional-de-fotografia-santiago-castelo/,"Dirigido a fotógrafos aficionados o profesionales, mayores de 18 años, de cualquier nacionalidad. Se pueden presentar un máximo de dos obras. Las imágenes deberán estar realizadas en el territorio que comprende la eurorregión EUROACE, agrupación integrada
por las Regiones de Alentejo y Centro (Portugal) y la Comunidad Autónoma de Extremadura (España).","Visuales, Fotografía",,No,,Sin cargo,Visuales,,EUR,,False,,,False
Premio | 53° Concurso Internacional de Pintura Villa de Fuente Álamo,Premio | 53° Concurso Internacional de Pintura Villa de Fuente Álamo,,https://ayto-fuentealamo.es/bases53edicionconcursodepintura/,España,"May 25, 2025",Yes,Ayuntamiento de Fuente Álamo de Murcia,Premio,"March 29, 2025 10:25 PM",,No,https://ayto-fuentealamo.es/bases53edicionconcursodepintura/,"Dirigido a artistas mayores de edad de cualquier nacionalidad, a
excepción de aquellos que hayan sido premiados en ediciones anteriores. Se podrá concursar con una única obra, que no haya sido premiada en ningún otro certamen. El tema y la técnica serán de libre elección. Se otorgarán los siguientes premios: Premio Villa de Fuente Álamo de 10.000€.; y Premio Círculo Medina de 6.000€.","Visuales, Pintura",,No,,Sin cargo,Visuales,10000.0,EUR,10800.0,True,,,False
Beca | Becas Pilar Juncosa de Formación para los cursos de los Talleres de Obra Gráfica,Beca | Becas Pilar Juncosa de Formación para los cursos de los Talleres de Obra Gráfica,,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/becas-pilar-juncosa-de-formacion-para-los-cursos-de-los-talleres-de-obra-grafica/,España,"July 31, 2025",Yes,Fundació Miró Mallorca,Beca,"March 29, 2025 10:25 PM",,No,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/becas-pilar-juncosa-de-formacion-para-los-cursos-de-los-talleres-de-obra-grafica/,"Dirigida a artistas interesados en las técnicas de estampación y obra seriada, para participar en los cursos que organiza anualmente en los Talleres de Obra Gráfica de Joan Miró. Cada beca está dotada con la matrícula gratuita a uno de los cursos-taller organizados a lo largo del año siguiente y 2.000 € (brutos) para gastos de viaje, alojamiento, etc. Los becarios tendrán preferencia para escoger plaza en uno de los cursos. Requiere pago de inscripción de 1,5€ derivados de la plataforma de gestión.","Visuales, Obra Gráfica",,No,,Pago,Diseño,2000.0,EUR,2160.0,True,2160.0,,True
Beca | Beca Pilar Juncosa a un Proyecto de Educación Artística,Beca | Beca Pilar Juncosa a un Proyecto de Educación Artística,,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/beca-pilar-juncosa-a-un-proyecto-de-educacion-artistica/,España,"July 31, 2025",Yes,Fundació Miró Mallorca,Beca,"March 29, 2025 10:26 PM",,No,https://miromallorca.com/es/premios-y-becas-pilar-juncosa/beca-pilar-juncosa-a-un-proyecto-de-educacion-artistica/,"Dos beca de 3.000 € para proyectos de educación artística que busquen acercar diferentes públicos al arte contemporáneo. Las propuestas deben estar relacionadas con el fondo documental y artístico de la fundación. La ejecución del proyecto se llevará a cabo en las instalaciones de la Fundación. Requiere pago de inscripción de 1,5€ derivados de la plataforma de gestión.","Otras, Educación, Visuales",,No,,Pago,Visuales,3000.0,EUR,3240.0,True,3240.0,,True
Convocatoria | Programa Anual de Clínica de Fotografía y Artes del Lente,Convocatoria | Programa Anual de Clínica de Fotografía y Artes del Lente,,https://saltoluzfotografia.com/programa-anual/,Argentina,"May 1, 2025",Yes,Salto Luz Fotografía y Lenguaje Visual,Convocatoria,"March 29, 2025 10:27 PM",,No,https://saltoluzfotografia.com/programa-anual/,"Dirigido a fotógrafos y artistas visuales interesados en desarrollar proyectos personales. Requiere pago de matrícula. Las disciplinas involucradas son fotografía y artes visuales. La oportunidad está abierta para artistas de Latinoamérica, con modalidades presencial y online.","Visuales, Fotografía",,No,,Pago,Visuales,,ARS,,False,,66.0,False
Residencia | Residencia de Creación en Artes Visuales con subvención,Residencia | Residencia de Creación en Artes Visuales con subvención,Destacar,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,Canadá,"May 28, 2025",Yes,Fondation Grantham,Residencia,"April 3, 2025 4:44 PM",,No,https://www.fondationgrantham.org/en/creation-residency-in-visual-arts,"Dirigido a artistas con al menos cinco años de práctica profesional en artes visuales. No requiere pago. Disciplinas: fotografía, instalación, escultura, pintura, arte gráfico, performance, arte sonoro, prácticas digitales y mediáticas. Abierto a artistas de todo el mundo, incluida Latinoamérica.","Visuales, Fotografía, Instalación, Escultura, Pintura, Arte gráfico, Performance, Arte sonoro",,No,,Sin cargo,Escénicas,,CAD,,False,10000.0,10000.0,True
Premio | XVIII Premio MAVI UC Arte Joven,Premio | XVIII Premio MAVI UC Arte Joven,,https://app.datarte.art/convocatorias/premio-mavi-uc-arte-joven-chile-2025,Chile,"May 4, 2025",Yes,Museo de Artes Visuales MAVI UC,Premio,"April 5, 2025 10:00 PM",,No,https://mavi.uc.cl/convocatorias-para-artistas/premio-mavi-uc-2024/,"Dirigido a artistas visuales de 18 a 35 años, chilenos o extranjeros con residencia y cédula chilena vigente. No requiere pago para participar. Disciplinas: pintura, dibujo, escultura, fotografía, grabado, técnicas mixtas, collage, arte textil, instalación, video instalación, videoarte y arte digital. Abierto solo a participantes que cumplan los requisitos en Chile.",Visuales,,No,,Sin cargo,Visuales,,CLP,,False,,,False
Convocatoria | 22a. The Pollux Awards,Convocatoria | 22a. The Pollux Awards,,https://www.recursosculturales.com/pollux-awards/,Virtual,"April 28, 2025",Yes,FotoNostrum Group,Convocatoria,"April 5, 2025 10:07 PM",,No,https://www.thepolluxawards.com/rules,"Dirigido a fotógrafos de todo el mundo, profesionales y aficionados, que trabajen en todos los medios, estilos y corrientes de pensamiento. Edad: mayores de 13 años. Exposición en FotoNostrum durante 2026. Requiere pago de inscripción que varia según la cantidad.","Visuales, Fotografía",,No,,Pago,Visuales,,,,False,280.0,,False
Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Premio | Premio Argentino a las Artes Visuales Fundación OSDE,Destacar,https://www.recursosculturales.com/premio-artes-visuales-fundacion-osde/,Argentina,"June 1, 2025",Yes,Fundación OSDE,Premio,"April 5, 2025 10:07 PM",,No,https://www.instagram.com/fundacionosde,"Dirigido a artistas y colectivos argentinos o extranjeros con residencia de al menos dos años en Argentina, mayores de 18 años. Serán admitidas todas las expresiones de las artes visuales, sin límite de técnica, procedimiento y/o medios digitales. Se podrá presentar una (1) obra por artista o colectivo de artistas. La fecha de realización de la obra no podrá ser anterior al año 2023.
Disciplinas: todas las artes visuales sin restricciones técnicas. No está abierto a artistas de otros países de Latinoamérica.",Visuales,,No,Destacar?,Sin cargo,Visuales,,ARS,,False,3000000.0,,True
Premio | Concurso Segundas Películas 2025,Premio | Concurso Segundas Películas 2025,,https://www.recursosculturales.com/incaa-concurso-segundas-peliculas/,Argentina,"April 30, 2025",Yes,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Premio,"April 5, 2025 10:07 PM",,No,https://www.incaa.gob.ar/concurso-segundas-peliculas-2025/,Dirigido a productores mayores de 18 años acompañados de directores que aspiren a dirigir su segundo largometraje de ficción. No requiere pago para participar. Disciplina: cine (largometrajes de ficción). Abierto exclusivamente a postulantes en Argentina.,"Cine, Largometraje",,No,,Sin cargo,Cine,,ARS,,False,225000.0,,True
Convocatoria | FotoNostrum Portrait Award,Convocatoria | FotoNostrum Portrait Award,,https://www.recursosculturales.com/fotonostrum-portrait-award/,España,"May 26, 2025",Yes,FotoNostrum,Convocatoria,"April 5, 2025 10:08 PM",,No,https://www.theportraitaward.com/,Dirigido a fotógrafos profesionales y no profesionales mayores de 15 años de cualquier parte del mundo. Requiere pago. Disciplina: fotografía de retrato. Abierto a artistas de América Latina.,"Visuales, Fotografía",,No,,Pago,Visuales,,EUR,,False,,24.0,False
Convocatoria | Becas 2025 Museo del Prado,Convocatoria | Becas 2025 Museo del Prado,,https://www.recursosculturales.com/becas-museo-del-prado/,España,"April 28, 2025",Yes,Museo del Prado,Beca,"April 5, 2025 10:08 PM",,No,https://www.museodelprado.es/museo/beca/becas-2025-museo-del-prado/66762c9d-453b-1996-5183-d855858ae22e,"Convocatoria de 12 becas de becas de investigación y formación que promuevan la capacitación técnica de especialistas en materias de la competencia del Museo del Prado: conservación, restauración, museología, desarrollo digital y gestión cultural. Cada una de las becas tendrá una duración de veinticuatro meses (24) consecutivos. Los aspirantes deben tener nacionalidad española o de algún otro Estado Miembro de la UE; ser residente en España en el momento de incorporarse a la beca; poseer un alto dominio del idioma español –hablado y escrito.","Otras, Conservación, Restauración, Museología, Gestión Cultural",,No,,Sin cargo,Otras,,EUR,,False,,,False
Convocatoria| VI Premio Portfolio FotoNostrum,Convocatoria | VI Premio Portfolio FotoNostrum,,https://www.recursosculturales.com/fotonostrum-magazine-awards/,España,"May 12, 2025",Yes,Revista FotoNostrum,Convocatoria,"April 5, 2025 10:09 PM",,No,https://www.fotonostrummag.com/magazine-awards-1,Dirigido a fotógrafos profesionales y no profesionales a nivel mundial. Requiere pago de inscripción. Disciplina: fotografía. Está abierto a artistas de Latinoamérica. Se seleccionarán al menos 12 portfolios para su publicación en futuros números de la revista.Un portfolio recibirá el Premio FotoNostrum Magazine 2024. La temática es abierta y las imágenes pueden ser de cualquier fecha.,"Visuales, Fotografía",,No,,Pago,Visuales,,EUR,,False,,36.0,False
Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,Beca | Matriz. Beca de Creación Interdisciplinaria en Artes Escénicas,,https://teatrocine-tvedras.pt/projetos,Portugal,"July 18, 2025",Yes,Teatro-Cine de Torres Vedras. Ayuntamiento de Torres Vedras,Beca,"April 5, 2025 10:14 PM",,No,https://teatrocine-tvedras.pt/projetos,"Dirigido a artistas mayores de 18 años, residentes en Portugal, en modalidades individuales o colectivas. No requiere pago. Disciplinas: danza, teatro y artes performativas interdisciplinarias. No está abierto para artistas de Latinoamérica.",Escénicas,,No,Fuera del Universo,Sin cargo,Escénicas,,EUR,,False,,,False
Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,Convocatoria | Common Grounds: Residencia para la Regeneración Urbana y Rural 2025,,https://on-the-move.org/news/common-grounds-residency-urban-and-rural-regeneration-2025-bulgaria-france-spain,Múltiples Países,"April 13, 2025",Yes,"Citadelle de Marseille (FRA), Gradoscope (BG) y Fundación RIA (ESP)",Convocatoria,"April 5, 2025 10:15 PM",,No,https://gradoscope.com/projects/common-grounds/,"Dirigido a artistas de todas las disciplinas, incluyendo artes visuales, arquitectura, video, fotografía, artesanía, artes escénicas, instalación y artes digitales. Se valorará el interés del artista en proyectos que combinen arte, naturaleza, paisaje, arte y ciencia. Los solicitantes deben dominar el inglés. No hay límites de nacionalidad, sin embargo, los candidatos deben residir en Marsella (Francia), Sofía (Bulgaria) o Galicia (España). Los artistas deben trabajar en una de las tres ciudades en cuestión.","Multidisciplinar, Arquitectura, Visuales, Escénicas, Digital / Nuevos medios",,No,Fuera del Universo,Sin cargo,Escénicas,,USD,,False,,,False
Convocatoria | Street Art Festival 2025: Past Perspectives,Convocatoria | Street Art Festival 2025: Past Perspectives,,https://on-the-move.org/news/street-art-festival-2025-past-perspectives-art-public-space-czech-republic,República Checa,"June 1, 2025",Yes,Street Art Festival ,Convocatoria,"April 5, 2025 10:15 PM",,No,https://streetart-festival.cz/street-art-festival-in-olomouc-announces-open-call/,"Dirigido a artistas interesados en intervenciones artísticas en espacios públicos. No requiere pago para participar. Disciplina: arte urbano. Abierto a artistas de todo el mundo, incluidas personas de Latinoamérica.","Visuales, Diseño, Street Art ",,No,,Sin cargo,Diseño,,,,False,,,False
Residencia | Programa de Artista en Residencia 2025,Residencia | Programa de Artista en Residencia 2025,,https://on-the-move.org/news/culture-directorate-malta-artist-residence-initiative-2025-malta,Malta,"April 28, 2025",Yes, Dirección de Cultura de Malta ,Residencia,"April 5, 2025 10:15 PM",,No,https://direttoratkultura.gov.mt/en/opportunities/,"Convocatoria abierta a artistas de todo el mundo, consagrados y emergentes con un mínimo de dos años de experiencia demostrada en su respectivo campo. La residencia proporciona una plataforma para la exploración, la conexión y la reflexión en todas las disciplinas artísticas. La residencia, de un mes de duración, se realizará entre el 01/07 y el 30/09/2025. El presupuesto asignado cubre un máximo de dos artistas, con un presupuesto máximo de 10.000 € por artista. ",Multidisciplinar,,No,,Sin cargo,Otras,10000.0,EUR,10800.0,True,,,False
Residencia | Bom Dia OASis Residency 2025,Residencia | Bom Dia OASis Residency 2025,,https://on-the-move.org/news/cultivamos-cultura-bom-dia-oasis-residency-2025-portugal,Portugal,"April 15, 2025",Yes, Cultivamos Cultura - Programa de residencias OASis,Residencia,"April 5, 2025 10:15 PM",,No,https://cultivamoscultura.com/2025/03/03/bom-dia-residency-open-call/,"Convocatoria abierta a creadores, artistas, investigadores internacionales de diversos campos y disciplinas, así como a profesionales y expertos que operan en la intersección de la cultura y otras disciplinas. Las solicitudes pueden presentarse individualmente. Los participantes seleccionados deben estar presentes en Cultivamos Cultura para crear, producir e implementar su proyecto dentro del plazo aprobado.","Multidisciplinar, Investigación, Interdisciplinario ",,No,,Sin cargo,Otras,,EUR,,False,,,False
Beca | Beca de Residencia Heritage in transformation 2026-27,Beca | Beca de Residencia Heritage in transformation 2026-27,,https://on-the-move.org/news/humboldt-universitat-zu-berlin-addressing-heritage-loss-fellowship-2026-27-germany,Alemania,"April 14, 2025",Yes,Käte Hamburger Kolleg | Centre for Advanced Study: inherit. heritage in transformation,Beca,"April 5, 2025 10:15 PM",,No,https://inherit.hu-berlin.de/open-call,"Dirigido a investigadores, artistas, cineastas y curadores con experiencia relevante en estudios de patrimonio. Las solicitudes deberán centrarse en la lucha contra la pérdida del patrimonio y  estar relacionadas con uno o más de los temas rectores: descentrar Occidente, descentrar lo humano y transformar el valor. Disciplinas: artes visuales, cine y áreas relacionadas al patrimonio. Abierto a postulantes de América Latina y otras regiones subrepresentadas.","Otras, Investigación, Interdisciplinario, Patrimonio Cultural, Cine",,No,,Sin cargo,Cine,,EUR,,False,,,False
