Nombre,Resumen generado por la IA,País,Fecha de cierre,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
Premio | Premio di Roma “Andrea Ceraso”,Premio | Premio di Roma “Andrea Ceraso”,Italia,"may 25, 2025",She Lives -  Asociación Eufonia,"Abierto a compositores de todas las edades y naciones, con el objetivo de presentar una pieza musical que incluya al menos uno de los instrumentos: piano, flauta, clarinete, violín, viola, y violonchelo. Las composiciones podrán tener una duración máxima de 15 minutos. Requiere una cuota de participación de 55 euros. Premios: primer premio de 1.000 euros; El segundo de 500 euros ; y el tercer premio incluye únicamente la ejecución. Las obras seleccionadas serán interpretadas por el ensamble Imago Sonora.",https://www.shelivesmusic.it/premio-di-roma-andrea-ceraso.html,Premio,"Música, Composición",Música,Pago,1800.00,EUR,2000.00,
Premio | II Concurso Internacional de Composición de Lieders Premio Raffaello de Banfield 2025,Premio | II Concurso Internacional de Composición de Lieders Premio Raffaello de Banfield 2025,Italia,"may 25, 2025",Associazione Culturale Friedrich Schiller di Trieste,Dirigido a compositores de cualquier nacionalidad que no hayan cumplido 36 años el 10 de mayo de 2025 (nacidos después del 11 de mayo de 1989). Centrado en la composición de canciones para voz y piano. Los participantes deberán presentar dos obras: una basada en un texto de Friedrich Schiller en alemán (eligiendo entre los poemas Sehnsucht o Hoffnung) y otra con texto libre en cualquier idioma. Las obras deben ser inéditas. Requiere pago de inscripción de €35. Se otorgan premios de hasta €1.500 y la obra ganadora será publicada y programada para la temporada 2026.,https://www.schillertrieste.it/concorso-internazionale-friedrich-schiller-ed-2025/,Premio,"Música, Composición",Música,Pago,35.0,EUR,37.8,
Premio | Primer premio de Arte Joven MAC Panamá x Mercantil,Premio | Primer premio de Arte Joven MAC Panamá x Mercantil,Panamá,"may 25, 2025",Museo de Arte Contemporáneo de Panamá,"Dirigido a artistas menores de 35 años residentes en Panamá sin una trayectoria institucional consolidada, el Premio ofrece la posibilidad de realizar una exposición individual en el museo, participar en una residencia internacional en Pivô (São Paulo), y recibir un programa de mentoría con especialistas en arte contemporáneo.",https://macpanama.org/primer-premio-de-arte-joven-mac-panama-x-mercantil-2025/,Premio,Visuales,Visuales,Sin cargo,,USD,,
Premio | IV Bienal de Dibujo Las Huellas del Dibujo,Premio | IV Bienal de Dibujo Las Huellas del Dibujo,España,"October 31, 2025",Asociación de Artistas Plásticos de Málaga (APLAMA),"La IV Bienal de Dibujo ""Las Huellas del Dibujo"" está dirigida a personas mayores de 18 años de cualquier nacionalidad o lugar de residencia, incluyendo latinoamericanos. No se especifica un pago para participar. La disciplina artística es el dibujo contemporáneo, con un premio único de 1.000 euros y una exposición en la Sala de Exposiciones Barbadillo para el artista ganador de esta Bienal.",http://www.aplama.com/index.php/eventos/view/id/916,Premio,"Visuales, Dibujo",Visuales,Sin cargo,1000.0,EUR,1080.0,
Convocatoria | Proyectos artísticos en Magenta Galería,Convocatoria | Proyectos artísticos en Magenta Galería,Perú,"July 10, 2025",Magenta Galería,"Dirigido a artistas independientes y de escuelas profesionales de Perú y el extranjero a participar en una iniciativa que busca visibilizar proyectos de artistas emergentes y de media carrera, fomentando nuevas propuestas creativas y potenciando la investigación y difusión artística. Presentar a proyectos colectivos y/o colaborativos, de tema libre, que estén finalizados o con un avance mínimo del 50%, y que cuenten con un curador. Se seleccionarán tres proyectos cuyas exposiciones se programarán entre octubre de 2025 y marzo de 2026.",https://linktr.ee/magentagaleria?,Convocatoria,Visuales,Visuales,Sin cargo,,PEN,,
Convocatoria | Work in Progress HIFF 2025,Convocatoria | Work in Progress HIFF 2025,España,"may 12, 2025",Festival Internacional de Cine de Huesca (HIFF),"Dirigida a cineastas de países iberoamericanos que cuenten con cortometrajes de ficción, documental o animación en etapa avanzada de postproducción. Los proyectos deben durar entre 5 y 20 minutos y no haber sido estrenados. La inscripción es gratuita y se realiza a través de Festhome. Los proyectos seleccionados recibirán asesoría profesional, reuniones con expertos, acreditaciones al festival y podrán optar por premios como la distribución en Festhome o servicios de postproducción de Chemistry. La participación implica estar presente en Huesca el 11 de junio de 2025.",https://www.huesca-filmfestival.com/work-in-progress-hiff/,Convocatoria,"Cine, Cortometrajes",Cine,Sin cargo,,EUR,,0.0
Convocatoria |  51ª FILMETS Badalona Film Festival,Convocatoria |  51ª FILMETS Badalona Film Festival,España,"may 31, 2025",Badalona Comunicació SA.,"Puede participar cualquier cortometraje que no se haya estrenado anteriormente en el FILMETS Badalona Film Festival. Se pueden presentar producciones de hasta 30 minutos de duración en los géneros de ficción, animación y documental. Requiere pago de inscripción. El Festival se celebrará del 17 al 26 de octubre de 2025. ",https://www.festivalfilmets.cat/es/obert-el-periode-dinscripcions-per-a-la-seccio-oficial-de-la-51a-edicio-del-filmets-badalona-film-festival/,Convocatoria,"Cine, Cortometraje",Cine,Pago,,EUR,12744.0,918
Convocatoria | Artistas chilenos en el Festival Ars Electronica,Convocatoria | Artistas chilenos en el Festival Ars Electronica,Chile,"may 26, 2025","Ars Electronica y el Ministerio de las Culturas, las Artes y el Patrimonio y el Ministerio de Relaciones Exteriores de Chile","Dirigido a artistas, científicos, diseñadores, investigadores y activistas sociales chilenos -residentes en Chile o el extranjero- que trabajen cruces entre el arte, la ciencia, la tecnología, los medios y las artes sonoras, a presentar sus proyectos para participar del Festival Ars Electrónica, cuya edición 2025 lleva por título Panic – yes/no, y  que se realizará entre el 3 y el 7 de septiembre en Linz, Austria.",https://www.cultura.gob.cl/convocatorias/festival-ars-electronica-abre-convocatoria-2025-para-artistas-de-chile/,Convocatoria,"Visuales, Música, Otras",Música,Sin cargo,,CLP,,
Beca | Programa de Becas del Ministerio de Educación del Japón (Monbukagakusho),Beca | Programa de Becas del Ministerio de Educación del Japón (Monbukagakusho),Japón,"June 13, 2025","Ministerio de Educación, Cultura, Deportes, Ciencia y Tecnología","La embajada de Japón en Argentina acerca las becas Monbukagakusho del Gobierno de Japón para 2025, que están dirigidas a estudiantes de bachillerato y profesionales Argentinos que deseen realizar estudios de pregrado o perfeccionar el idioma japonés en universidades japonesas. No requieren pago para postular. No se especifican disciplinas artísticas particulares, aunque cubren diversas áreas de estudio.",https://www.ar.emb-japan.go.jp/itpr_es/Becas.html,Beca,Multidisciplinar,Otras,Sin cargo,,JPY,,
SANFIC Industria tiene abierta sus convocatorias 2025,Convocatoria | SANFIC Industria,Chile,"may 26, 2025",SANFIC Industria,"SANFIC Industria, es espacio de formación y fomento, dirigido a profesionales y nuevas generaciones del audiovisual chileno e iberoamericano. Convocatorias abiertas para las distintas secciones: Work In Progress Iberoamericano, Santiago Lab, Series Lab Iberoamericano, VI SANFIC - Mórbido Lab, Productoras Lab, Incubadora Queer latinoamérica, entre otras.",https://sanficindustria.cl/secciones/,Convocatoria,Cine,Cine,Sin cargo,,CLP,,
Convocatoria | ArteBA 2025 Galerías y Proyectos Artísticos,Convocatoria | ArteBA 2025 Galerías y Proyectos Artísticos,Argentina,"may 15, 2025",Fundación ArteBA,"Convocatoria abierta para participar de una nueva edición de la feria, que se realizará del viernes 29 al domingo 31 de agosto en Costa Salguero, en la Ciudad de Buenos Aires. Dirigida a todas las galerías y proyectos artísticos de todo el país y de la región a presentar sus propuestas para la sección principal y para la sección Utopia.
",https://www.arteba.org/,Convocatoria,Visuales,Visuales,Sin cargo,,ARS,,
Premio | Premio Nacional de Ensayo sobre Fotografía 2025,Premio | Premio Nacional de Ensayo sobre Fotografía 2025,México,"June 27, 2025",Centro de la Imagen de la Secretaría de Cultura de México,"Dirigida a personas dedicadas a la investigación y escritura, de nacionalidad mexicana o extranjeras con al menos dos años de residencia comprobable en México. El objetivo es reconocer ensayos sobre fotografía en México, abordando temas como obra de fotógrafos, teoría de la imagen, análisis históricos, movimientos y archivos fotográficos. Se podrá participar en dos categorías (investigador en formación o con amplia trayectoria), presentando un único texto inédito, en prosa y estilo libre, que defienda una postura crítica sobre alguno de los temas propuestos. Se otorgarán dos premios indivisibles en efectivo: Categoría A: $30,000.00; y Categoría B: $45,000.00. ",https://ci.cultura.gob.mx/agenda/premio-nacional-de-ensayo-sobre-fotografia-2025/,Premio,"Otras, Fotografía, Investigación, Ensayo",Visuales,Sin cargo,3000000.0,MXN,171000.0,
Premio | Premio Bellas Artes de Novela José Rubén Romero 2025,Premio | Premio Bellas Artes de Novela José Rubén Romero 2025,México,"may 16, 2025",INBAL -  Secretaría de Cultura del Estado de Michoacán,"Podrán participar personas escritoras mexicanas y extranjeras, residentes en la República mexicana, mayores de 18 años. Las personas extranjeras deberán acreditar su estancia legal en el país durante cinco años como mínimo. Podrán presentar una novela inédita, de tema libre, escrita en español o en una lengua indígena nacional (con traducción al español), en formato PDF, con entre 80 y 300 cuartillas, cumpliendo especificaciones de formato y sin estar participando en otros concursos ni procesos editoriales.",https://sgba.inba.gob.mx/pbal/archivos/bases/9/48/1740692910_CONVOCATORIA%20PREMIO%20JOSE%20RUBEN%20ROMERO%202025.pdf,Premio,"Literatura, Novela",Literatura,Sin cargo,,MXN,10711.4,
"Beca | Becas para Bienales y Festivales de Arquitectura, Diseño y Moda 2025-26","Beca | Becas para Bienales y Festivales de Arquitectura, Diseño y Moda 2025-26 ",Reino Unido,"June 1, 2025",British Council,"Subvenciones disponibles de hasta £10 000 para apoyar: Bienales y festivales con sede en el Reino Unido que muestran el trabajo de diseñadores internacionales; y Bienales y festivales internacionales (fuera del Reino Unido, excluidos Afganistán, Bangladesh, India, Nepal, Pakistán y Sri Lanka) que muestran el trabajo de diseñadores del Reino Unido.  Involucra disciplinas de arquitectura, diseño y moda; está abierta a organizaciones y eventos de América Latina. Periodo de actividad: mediados de septiembre de 2025 – agosto de 2026.",https://arts.britishcouncil.org/get-involved/opportunities/architecture-design-and-fashion-biennales-and-festivals-grants,Beca,Diseño,Diseño,Sin cargo,10.0,GBP,12.5,
"Residencia | Nodus 2025, Residencia artística de danza contemporánea","Residencia | Nodus 2025, Residencia artística de danza contemporánea",España,"may 31, 2025",Fundació Caixa Castelló,"Dirigida a bailarines de todas las edades y nacionalidades. La residencia se desarrollará del 7 al 13 de julio de 2025 en Cinctorres (Castellón, España), con el objetivo de fomentar e innovar el repertorio de la danza contemporánea, integrando el territorio a través de la cultura. Bajo la coordinación del coreógrafo Toni Aparisi, el proyecto cubrirá gastos de viaje (según condiciones), alojamiento y manutención, y ofrecerá la posibilidad de una presentación remunerada posterior. Se seleccionarán 6 participantes titulares y 6 suplentes.",https://www.fundacioncajacastellon.es/es/open-call-nodus-2025-residencia-artistica-de-dansa-contemporania-a-cinctorres-castello/,Residencia,"Escénicas, Danza",Escénicas,Sin cargo,Residencia,EUR,,
Premio | Premio Bellas Artes de Crónica Literaria “Carlos Montemayor” 2025,Premio | Premio Bellas Artes de Crónica Literaria “Carlos Montemayor” 2025,México,"may 16, 2025",INBAL -  Secretaría de Cultura del Estado de Chihuahua,"Podrán participar personas escritoras mexicanas y extranjeras, residentes en la República mexicana, mayores de 18 años. Las personas extranjeras deberán acreditar su estancia legal en el país durante cinco años como mínimo. Podrán presentar un solo libro inédito de crónica, de tema libre, escrito en español o en una lengua indígena nacional (con traducción al español), en formato PDF de entre 60 y 80 cuartillas, cumpliendo con las especificaciones de forma, y sin estar participando en otros concursos ni procesos editoriales.",https://sgba.inba.gob.mx/pbal/archivos/bases/13/47/1740692769_CONVOCATORIA%20PREMIO%20CARLOS%20MONTEMAYOR%202025.pdf,Premio,"Literatura, Crónica",Literatura,Sin cargo,"100,000.00",MXN,5355.7,
Convocatoria | 10mo. Festival Internacional de Cine para Adolescentes de San Martín de los Andes,Convocatoria | 10mo. Festival Internacional de Cine para Adolescentes de San Martín de los Andes,Argentina,"June 15, 2025",Festival Internacional Cine a la Vista!,"Dirigido a largometrajes estrenados entre 2022 y 2024 y a cortometrajes realizados por adolescentes; no se menciona requisito de pago para participar. Disciplina: cine y audiovisual. Abierto a participantes de diferentes países, incluyendo Latinoamérica.",https://cinealavista.com,Convocatoria,Cine,Cine,Sin cargo,,ARS,,
Convocatoria | The Europe Challenge 2025/26,Convocatoria | The Europe Challenge 2025/26,Europa,"may 29, 2025","
The European Cultural Foundation","Dirigido a bibliotecas y líderes comunitarios de toda Europa, con el objetivo de empoderarlos para desarrollar proyectos que respondan a los principales desafíos sociales, digitales y ecológicos del continente, promoviendo así una Europa más inclusiva, conectada y sostenible. Solo para organizaciones y Bibliotecas de paises europeos.",https://theeuropechallenge.eu/news/apply-now-2025/,Convocatoria,"Otras, Biblioteca, Patrimonio, Gestión Cultural",Otras,Sin cargo,,,,
Convocatoria | DongGang International Photo Festival 2025,Convocatoria | DongGang International Photo Festival 2025,Corea del Sur,"June 1, 2025",DongGang International Photo Festival,"Dirigido a fotógrafos individuales y colectivos de todo el mundo, incluidos los de Latinoamérica. No requiere pago para participar y se enfoca exclusivamente en la disciplina de fotografía, solicitando entre 8-12 fotografías de una serie o cuerpo de trabajo específico. El tema de este año es “Asimílalos, Refínalos, Recortarlos”. El Festival  se celebrará del 11 de julio al 28 de septiembre de 2025 en Yeongwol, Corea del Sur.",https://www.dgphotofestival.com/2025opencall,Convocatoria,"Visuales, Fotografía",Visuales,Sin cargo,,,,
Residencia | 2025 Residency on the Resonance of Videopoetry,Residencia | 2025 Residency on the Resonance of Videopoetry,Alemania,"may 18, 2025",ZKM Karlsruhe - Heidelberg,Dirigido a poetas (o aquellos que trabajan profesional y poéticamente con el lenguaje) que tengan una conexión clara (centro de vida y/o trabajo) con una de las 53 Ciudades de la Literatura de la UNESCO en todo el mundo. El programa de residencia se desarrollará del 1 de septiembre al 30 de noviembre de 2025. Se deben presentar sus solicitudes en inglés o alemán.,https://www.heidelberg.de/HD/Leben/poetic+frequencies.html,Residencia,"Literatura, Poesía",Literatura,Sin cargo,,EUR,,
Residencia | Utopie Migranti Theatre Project Residency,Residencia | Utopie Migranti Theatre Project Residency,Italia,"may 15, 2025",Beyond Borders,"Esta convocatoria está dirigida a jóvenes de entre 18 y 35 años, de origen o ascendencia Emiliano-Romañola, que residan en el extranjero y posean un nivel intermedio de italiano. Busca personas con experiencia en artes escénicas —como teatro, danza, música, performance y artes visuales— o con habilidades en organización y comunicación vinculadas a estos campos. Se seleccionarán 6 perfiles artísticos y 2 organizativos para participar en un proyecto en Italia en 2025. Se valorará la experiencia previa y se reservará un 50% de las plazas para miembros de asociaciones de Emilia-Romagna.",https://beyondbordersproject.net/open-call-utopie-migranti/,Residencia,"Escénicas, Teatro, Danza, Música",Música,Sin cargo,3000,EUR,3542.92,
Convocatoria | AAP Magazine 48 Theme Portrait,Convocatoria | AAP Magazine 48 Theme Portrait,Virtual,"may 13, 2025",All About Photo,"Convocatoria dirigida a fotógrafos de cualquier nivel y nacionalidad; requiere pago para participar. Disciplina: fotografía (retrato). Abierto a artistas de todo el mundo, incluyendo Latinoamérica. Requiere pago de inscripción.",https://www.all-about-photo.com/all-about-photo-contest.php?cid=149,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,,,5.0
Convocatoria | Illuminate The Night 2025,Convocatoria | Illuminate The Night 2025,EEUU,"June 6, 2025",Nuit Blanche Winnipeg,"Dirigido a artistas individuales o colectivos de cualquier país, incluida Latinoamérica. No requiere pago para participar. Disciplinas: artes visuales y proyectos interdisciplinarios relacionados con arte contemporáneo.",https://nuitblanchewinnipeg.ca/,Convocatoria,Visuales,Visuales,Sin cargo,,USD,,
Convocatoria | Exposición Colectiva  Art in Abstraction 2025,Convocatoria | Exposición Colectiva  Art in Abstraction 2025,EEUU,"may 14, 2025",Maryland Federation of Art,"Dirigida a artistas visuales residentes en Estados Unidos, Puerto Rico, Canadá y México para participar en una exposición organizada por MFA. Las obras deben ser originales y realizadas en los últimos tres años. Se permite un máximo de seis obras por artista, y todas deben estar a la venta. El costo de inscripción es de $45 para 1 o 2 obras (con descuentos para miembros MFA). Tema: Abstracción. Las obras seleccionadas se exhibirán en Annapolis, Maryland, del 8 de julio al 14 de agosto.",https://mdfedart.com/portfolio/art-in-abstraction/,Convocatoria,Visuales,Visuales,Pago,45.0,USD,1000.0,
Convocatoria | The Hopper Prize Artist Grants,Convocatoria | The Hopper Prize Artist Grants,Virtual,"may 14, 2025",The Hopper Prize,"Dirigido a artistas latinoamericanos y de otras regiones en artes plásticas, visuales y audiovisuales. Requiere pago de inscripción. Disciplinas: dibujo, pintura, fotografía, grabado, escultura, instalación, medios mixtos, videoarte y cortometraje experimental. Abierto a artistas de Latinoamérica.",https://hopperprize.org,Convocatoria,Visuales,Visuales,Pago,,USD,22000.00,40.0
Residencia | Programa JSP Artist-In-Residence 2025-2026,Residencia | Programa JSP Artist-In-Residence 2025-2026,EEUU,"may 14, 2025",Josephine Sculpture Park,"Dirigido a artistas visuales que trabajen con escultura, así como con medios como el sonido y la performance, como experiencias interactivas con la escultura y el entorno natural. Los artistas deben estar autorizados para trabajar legalmente en los Estados Unidos, y ser mayores de 18 años. El programa AiR acogerá a un máximo de dos artistas para una visita de planificación en 2025 y una residencia de hasta 10 semanas en 2026.",https://www.josephinesculpturepark.org/air,Residencia,"Visuales, Escultura",Visuales,Sin cargo,,USD,5000.00,
Premio | International Logo Design Contest ,Premio | International Logo Design Contest ,Canadá,"may 31, 2025",Love First International,"Dirigido a diseñadores gráficos de todo el mundo, sin costo de inscripción, para diseñar un nuevo logotipo oficial para Love First International. Cada participante puede enviar hasta dos logotipos. Premios:- 1.er lugar: $500 CAD- 2.º lugar: $300 CAD- 3.er lugar: $150 CAD. Abierto a artistas de Latinoamérica.",https://lovefirstinternational.com/logocontest/,Premio,Diseño,Diseño,Sin cargo,500.0,CAD,370.0,500.0
Convocatoria | Ras Al Khaimah Art Festival: Civilizations,Convocatoria | Ras Al Khaimah Art Festival: Civilizations,Emiratos Árabes Unidos,"may 31, 2025",Ras Al Khaimah Art - Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,"Dirigido a artistas de todas las nacionalidades, sin requerir pago de inscripción. Disciplinas: artes visuales, fotografía, escultura, cortometraje y arte estudiantil. Tema: Civilización. La convocatoria del Ras Al Khaimah Art Festival: Civilizations está abierta para artistas de Latinoamérica.",https://www.rakart.ae/2026-festival,Convocatoria,"Visuales, Cine",Cine,Sin cargo,,,16607.86,
Convocatoria | Design for Change. International Poster Competition ,Convocatoria | Design for Change. International Poster Competition ,Canadá,"may 17, 2025",Borderless Graphic Designer Group,"Se invita a diseñadores gráficos de todo el mundo a crear imágenes que inviten a la reflexión y aborden desafíos sociales y políticos clave. Temas: 1.⁠ ⁠Puentes, no muros: Unidad en un mundo dividido; y 2. El espejo del narcisista: cuando el ego moldea la política. La participación en este concurso es gratuita. No hay límite en la cantidad de carteles que cada participante puede enviar. Todas las obras y los derechos de diseño deben ser originales.",https://borderlessgroup.ca/design-for-change-international-poster-competition/,Convocatoria,"Diseño, Gráfica",Diseño,Sin cargo,,CAD,,
