Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Requisitos,Robot Requisitos,Obtener Disciplina,Requisitos,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Inscripcion,Disciplina Limpia,Monto,Moneda,Monto_USD,Significativa
Convocatoria | 3° Salón Nacional de Artes Visuales del Chaco,Convocatoria | 3° Salón Nacional de Artes Visuales del Chaco,,https://cultura.chaco.gob.ar/noticia-convocatorias-y-mas-2024-06-13-02-14,Argentina,"June 20, 2025",Yes,Museo Provincial de Bellas Artes René Brusau - Instituto de Cultura del Chaco,,No,"Dirigida a artistas, grupos o colectivos de artistas nativos o residentes en la República Argentina. No se menciona pago para participar. La disciplina principal es artes visuales. La oportunidad está limitada a artistas argentinos, no está abierta para artistas de otros países de Latinoamérica. Incluye un Premio Nacional de Fomento a la Producción de $450.000 pesos argentinos para cada proyecto seleccionado.",,https://cultura.chaco.gob.ar/noticia-convocatorias-y-mas-2024-06-13-02-14,Convocatoria,Visuales,2025-05-03 13:14:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,450000.0,ARS,495.00000000000006,True
Fondos | Estimulo a la creación Museo Casa de la Memoria de Medellín 2025,Fondos | Estimulo a la creación Museo Casa de la Memoria de Medellín 2025,,https://www.medellin.gov.co/estimuloscultura/MCM,Colombia,"May 30, 2025",Yes,Museo Casa de la Memoria de Medellín - Alcaldía de Medellín,,No,"Dirigida a la ciudadanía en general, víctimas, organizaciones culturales y sociales. Las disciplinas incluyen creación audiovisual, literaria, cómic/historieta y fortalecimiento de lugares de memoria, bajo el concepto ""Las memorias iberoamericanas"". Exclusivo para residentes de la ciudad de Medellín.",,https://www.medellin.gov.co/estimuloscultura/MCM,Fondos,"Visuales, Literatura, Cine, Otras",2025-05-03 13:20:00,,,No,No,,No,,,No,,,Sin cargo,Cine,,COP,,False
Premio | Premio di Roma “Andrea Ceraso”,Premio | Premio di Roma “Andrea Ceraso”,,https://www.shelivesmusic.it/premio-di-roma-andrea-ceraso.html,Italia,"May 25, 2025",Yes,She Lives -  Asociación Eufonia,,No,"Abierto a compositores de todas las edades y naciones, con el objetivo de presentar una pieza musical que incluya al menos uno de los instrumentos: piano, flauta, clarinete, violín, viola, y violonchelo. Las composiciones podrán tener una duración máxima de 15 minutos. Requiere una cuota de participación de 55 euros. Premios: primer premio de 1.000 euros; El segundo de 500 euros ; y el tercer premio incluye únicamente la ejecución. Las obras seleccionadas serán interpretadas por el ensamble Imago Sonora.",,https://www.shelivesmusic.it/premio-di-roma-andrea-ceraso.html,Premio,"Música, Composición",2025-05-03 13:44:00,,,No,No,,No,,,No,,,Pago,Música,55.0,EUR,59.400000000000006,False
Premio | II Concurso Internacional de Composición de Lieders Premio Raffaello de Banfield 2025,Premio | II Concurso Internacional de Composición de Lieders Premio Raffaello de Banfield 2025,,https://www.schillertrieste.it/concorso-internazionale-friedrich-schiller-ed-2025/,Italia,"May 25, 2025",Yes,Associazione Culturale Friedrich Schiller di Trieste,,No,Dirigido a compositores de cualquier nacionalidad que no hayan cumplido 36 años el 10 de mayo de 2025 (nacidos después del 11 de mayo de 1989). Centrado en la composición de canciones para voz y piano. Los participantes deberán presentar dos obras: una basada en un texto de Friedrich Schiller en alemán (eligiendo entre los poemas Sehnsucht o Hoffnung) y otra con texto libre en cualquier idioma. Las obras deben ser inéditas. Requiere pago de inscripción de €35. Se otorgan premios de hasta €1.500 y la obra ganadora será publicada y programada para la temporada 2026.,,https://www.schillertrieste.it/concorso-internazionale-friedrich-schiller-ed-2025/,Premio,"Música, Composición",2025-05-03 14:04:00,,,No,No,,No,,,No,,,Pago,Música,35.0,EUR,37.800000000000004,False
Premio | Primer premio de Arte Joven MAC Panamá x Mercantil,Premio | Primer premio de Arte Joven MAC Panamá x Mercantil,,https://es.artealdia.com/Convocatorias/EL-PRIMER-PREMIO-DE-ARTE-JOVEN-MAC-PANAMA-X-MERCANTIL-LANZA-SU-CONVOCATORIA-2025,Panamá,"May 25, 2025",Yes,Museo de Arte Contemporáneo de Panamá,,No,"Dirigido a artistas menores de 35 años residentes en Panamá sin una trayectoria institucional consolidada, el Premio ofrece la posibilidad de realizar una exposición individual en el museo, participar en una residencia internacional en Pivô (São Paulo), y recibir un programa de mentoría con especialistas en arte contemporáneo.",,https://macpanama.org/primer-premio-de-arte-joven-mac-panama-x-mercantil-2025/,Premio,Visuales,2025-05-03 22:00:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,,USD,,False
Premio | IV Bienal de Dibujo Las Huellas del Dibujo,Premio | IV Bienal de Dibujo Las Huellas del Dibujo,,https://www.arteinformado.com/agenda/f/iv-bienal-de-dibujo-las-huellas-del-dibujo-237291,España,"October 31, 2025",Yes,Asociación de Artistas Plásticos de Málaga (APLAMA),,No,"La IV Bienal de Dibujo ""Las Huellas del Dibujo"" está dirigida a personas mayores de 18 años de cualquier nacionalidad o lugar de residencia, incluyendo latinoamericanos. No se especifica un pago para participar. La disciplina artística es el dibujo contemporáneo, con un premio único de 1.000 euros y una exposición en la Sala de Exposiciones Barbadillo para el artista ganador de esta Bienal.",,http://www.aplama.com/index.php/eventos/view/id/916,Premio,"Visuales, Dibujo",2025-05-03 22:03:00,Falopa,,No,No,,No,,,No,,,Sin cargo,Visuales,1000.0,EUR,1080.0,True
Convocatoria | Proyectos artísticos en Magenta Galería,Convocatoria | Proyectos artísticos en Magenta Galería,,https://app.datarte.art/convocatorias/proyectos-artes-visuales-peru-2025,Perú,"July 10, 2025",Yes,Magenta Galería,,No,"Dirigido a artistas independientes y de escuelas profesionales de Perú y el extranjero a participar en una iniciativa que busca visibilizar proyectos de artistas emergentes y de media carrera, fomentando nuevas propuestas creativas y potenciando la investigación y difusión artística. Presentar a proyectos colectivos y/o colaborativos, de tema libre, que estén finalizados o con un avance mínimo del 50%, y que cuenten con un curador. Se seleccionarán tres proyectos cuyas exposiciones se programarán entre octubre de 2025 y marzo de 2026.",,https://linktr.ee/magentagaleria?,Convocatoria,Visuales,2025-05-03 22:04:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,,PEN,,False
Convocatoria | Work in Progress HIFF 2025,Convocatoria | Work in Progress HIFF 2025,,https://festhome.com/festival/9497,España,"May 12, 2025",Yes,Festival Internacional de Cine de Huesca (HIFF),,No,"Dirigida a cineastas de países iberoamericanos que cuenten con cortometrajes de ficción, documental o animación en etapa avanzada de postproducción. Los proyectos deben durar entre 5 y 20 minutos y no haber sido estrenados. La inscripción es gratuita y se realiza a través de Festhome. Los proyectos seleccionados recibirán asesoría profesional, reuniones con expertos, acreditaciones al festival y podrán optar por premios como la distribución en Festhome o servicios de postproducción de Chemistry. La participación implica estar presente en Huesca el 11 de junio de 2025.",,https://www.huesca-filmfestival.com/work-in-progress-hiff/,Convocatoria,"Cine, Cortometrajes",2025-05-03 22:08:00,,,No,No,,No,,,No,,,Sin cargo,Cine,,EUR,,False
Convocatoria |  51ª FILMETS Badalona Film Festival,Convocatoria |  51ª FILMETS Badalona Film Festival,,https://festhome.com/festival/6002,España,"May 31, 2025",Yes,Badalona Comunicació SA.,,No,"Puede participar cualquier cortometraje que no se haya estrenado anteriormente en el FILMETS Badalona Film Festival. Se pueden presentar producciones de hasta 30 minutos de duración en los géneros de ficción, animación y documental. Requiere pago de inscripción. El Festival se celebrará del 17 al 26 de octubre de 2025. ",,https://www.festivalfilmets.cat/es/obert-el-periode-dinscripcions-per-a-la-seccio-oficial-de-la-51a-edicio-del-filmets-badalona-film-festival/,Convocatoria,"Cine, Cortometraje",2025-05-03 22:09:00,,,No,No,,No,,,No,,,Pago,Cine,,EUR,,False
Convocatoria | Artistas chilenos en el Festival Ars Electronica,Convocatoria | Artistas chilenos en el Festival Ars Electronica,,https://hipermedula.org/2025/05/convocatoria-2025-festival-ars-electronica/,Chile,"May 26, 2025",Yes,"Ars Electronica y el Ministerio de las Culturas, las Artes y el Patrimonio y el Ministerio de Relaciones Exteriores de Chile",,No,"Dirigido a artistas, científicos, diseñadores, investigadores y activistas sociales chilenos -residentes en Chile o el extranjero- que trabajen cruces entre el arte, la ciencia, la tecnología, los medios y las artes sonoras, a presentar sus proyectos para participar del Festival Ars Electrónica, cuya edición 2025 lleva por título Panic – yes/no, y  que se realizará entre el 3 y el 7 de septiembre en Linz, Austria.",,https://www.cultura.gob.cl/convocatorias/festival-ars-electronica-abre-convocatoria-2025-para-artistas-de-chile/,Convocatoria,"Visuales, Música, Otras",2025-05-03 22:10:00,,,No,No,,No,,,No,,,Sin cargo,Música,,CLP,,False
Beca | Programa de Becas del Ministerio de Educación del Japón (Monbukagakusho),Beca | Programa de Becas del Ministerio de Educación del Japón (Monbukagakusho),,https://www.recursosculturales.com/monbukagakusho-becas-para-estudiar-en-japon/,Japón,"June 13, 2025",Yes,"Ministerio de Educación, Cultura, Deportes, Ciencia y Tecnología",,No,"La embajada de Japón en Argentina acerca las becas Monbukagakusho del Gobierno de Japón para 2025, que están dirigidas a estudiantes de bachillerato y profesionales Argentinos que deseen realizar estudios de pregrado o perfeccionar el idioma japonés en universidades japonesas. No requieren pago para postular. No se especifican disciplinas artísticas particulares, aunque cubren diversas áreas de estudio.",,https://www.ar.emb-japan.go.jp/itpr_es/Becas.html,Beca,Multidisciplinar,2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Otras,,JPY,,False
SANFIC Industria tiene abierta sus convocatorias 2025,Convocatoria | SANFIC Industria,,https://www.recursosculturales.com/sanfic-industria/,Chile,"May 26, 2025",Yes,SANFIC Industria,,No,"SANFIC Industria, es espacio de formación y fomento, dirigido a profesionales y nuevas generaciones del audiovisual chileno e iberoamericano. Convocatorias abiertas para las distintas secciones: Work In Progress Iberoamericano, Santiago Lab, Series Lab Iberoamericano, VI SANFIC - Mórbido Lab, Productoras Lab, Incubadora Queer latinoamérica, entre otras.",,https://sanficindustria.cl/secciones/,Convocatoria,Cine,2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Cine,,CLP,,False
Convocatoria | ArteBA 2025 Galerías y Proyectos Artísticos,Convocatoria | ArteBA 2025 Galerías y Proyectos Artísticos,,https://www.recursosculturales.com/convocatoria-arteba-seccion-principal/,Argentina,"May 15, 2025",Yes,Fundación ArteBA,,No,"Convocatoria abierta para participar de una nueva edición de la feria, que se realizará del viernes 29 al domingo 31 de agosto en Costa Salguero, en la Ciudad de Buenos Aires. Dirigida a todas las galerías y proyectos artísticos de todo el país y de la región a presentar sus propuestas para la sección principal y para la sección Utopia.
",,https://www.arteba.org/,Convocatoria,Visuales,2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,,ARS,,False
Premio | Premio Nacional de Ensayo sobre Fotografía 2025,Premio | Premio Nacional de Ensayo sobre Fotografía 2025,,https://www.recursosculturales.com/premio-de-ensayo-sobre-fotografia/,México,"June 27, 2025",Yes,Centro de la Imagen de la Secretaría de Cultura de México,,No,"Dirigida a personas dedicadas a la investigación y escritura, de nacionalidad mexicana o extranjeras con al menos dos años de residencia comprobable en México. El objetivo es reconocer ensayos sobre fotografía en México, abordando temas como obra de fotógrafos, teoría de la imagen, análisis históricos, movimientos y archivos fotográficos. Se podrá participar en dos categorías (investigador en formación o con amplia trayectoria), presentando un único texto inédito, en prosa y estilo libre, que defienda una postura crítica sobre alguno de los temas propuestos. Se otorgarán dos premios indivisibles en efectivo: Categoría A: $30,000.00; y Categoría B: $45,000.00. ",,https://ci.cultura.gob.mx/agenda/premio-nacional-de-ensayo-sobre-fotografia-2025/,Premio,"Otras, Fotografía, Investigación, Ensayo",2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,3000000.0,MXN,171000.0,True
Premio | Premio Bellas Artes de Novela José Rubén Romero 2025,Premio | Premio Bellas Artes de Novela José Rubén Romero 2025,,https://www.recursosculturales.com/premio-bellas-artes-de-novela-jose-ruben-romero/,México,"May 16, 2025",Yes,INBAL -  Secretaría de Cultura del Estado de Michoacán,,No,"Podrán participar personas escritoras mexicanas y extranjeras, residentes en la República mexicana, mayores de 18 años. Las personas extranjeras deberán acreditar su estancia legal en el país durante cinco años como mínimo. Podrán presentar una novela inédita, de tema libre, escrita en español o en una lengua indígena nacional (con traducción al español), en formato PDF, con entre 80 y 300 cuartillas, cumpliendo especificaciones de formato y sin estar participando en otros concursos ni procesos editoriales.",,https://sgba.inba.gob.mx/pbal/archivos/bases/9/48/1740692910_CONVOCATORIA%20PREMIO%20JOSE%20RUBEN%20ROMERO%202025.pdf,Premio,"Literatura, Novela",2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Literatura,,MXN,,False
"Beca | Becas para Bienales y Festivales de Arquitectura, Diseño y Moda 2025-26","Beca | Becas para Bienales y Festivales de Arquitectura, Diseño y Moda 2025-26 ",,https://www.recursosculturales.com/becas-para-bienales-festivales-diseno/,Reino Unido,"June 1, 2025",Yes,British Council,,No,"Subvenciones disponibles de hasta £10 000 para apoyar: Bienales y festivales con sede en el Reino Unido que muestran el trabajo de diseñadores internacionales; y Bienales y festivales internacionales (fuera del Reino Unido, excluidos Afganistán, Bangladesh, India, Nepal, Pakistán y Sri Lanka) que muestran el trabajo de diseñadores del Reino Unido.  Involucra disciplinas de arquitectura, diseño y moda; está abierta a organizaciones y eventos de América Latina. Periodo de actividad: mediados de septiembre de 2025 – agosto de 2026.",,https://arts.britishcouncil.org/get-involved/opportunities/architecture-design-and-fashion-biennales-and-festivals-grants,Beca,Diseño,2025-05-03 22:12:00,,,No,No,,No,,,No,,,Sin cargo,Diseño,10.0,GBP,12.5,False
"Residencia | Nodus 2025, Residencia artística de danza contemporánea","Residencia | Nodus 2025, Residencia artística de danza contemporánea",,https://www.recursosculturales.com/residencia-danza-suera/,España,"May 31, 2025",Yes,Fundació Caixa Castelló,,No,"Dirigida a bailarines de todas las edades y nacionalidades. La residencia se desarrollará del 7 al 13 de julio de 2025 en Cinctorres (Castellón, España), con el objetivo de fomentar e innovar el repertorio de la danza contemporánea, integrando el territorio a través de la cultura. Bajo la coordinación del coreógrafo Toni Aparisi, el proyecto cubrirá gastos de viaje (según condiciones), alojamiento y manutención, y ofrecerá la posibilidad de una presentación remunerada posterior. Se seleccionarán 6 participantes titulares y 6 suplentes.",,https://www.fundacioncajacastellon.es/es/open-call-nodus-2025-residencia-artistica-de-dansa-contemporania-a-cinctorres-castello/,Residencia,"Escénicas, Danza",2025-05-03 22:13:00,,,No,No,,No,,,No,,,Sin cargo,Escénicas,,EUR,,False
Premio | Premio Bellas Artes de Crónica Literaria “Carlos Montemayor” 2025 ,Premio | Premio Bellas Artes de Crónica Literaria “Carlos Montemayor” 2025 ,,https://www.recursosculturales.com/premio-carlos-montemayor/,México,"May 16, 2025",Yes,INBAL -  Secretaría de Cultura del Estado de Chihuahua,,No,"Podrán participar personas escritoras mexicanas y extranjeras, residentes en la República mexicana, mayores de 18 años. Las personas extranjeras deberán acreditar su estancia legal en el país durante cinco años como mínimo. Podrán presentar un solo libro inédito de crónica, de tema libre, escrito en español o en una lengua indígena nacional (con traducción al español), en formato PDF de entre 60 y 80 cuartillas, cumpliendo con las especificaciones de forma, y sin estar participando en otros concursos ni procesos editoriales.",,https://sgba.inba.gob.mx/pbal/archivos/bases/13/47/1740692769_CONVOCATORIA%20PREMIO%20CARLOS%20MONTEMAYOR%202025.pdf,Premio,"Literatura, Crónica",2025-05-03 22:14:00,,,No,No,,No,,,No,,,Sin cargo,Literatura,,MXN,,False
Convocatoria | 10mo. Festival Internacional de Cine para Adolescentes de San Martín de los Andes,Convocatoria | 10mo. Festival Internacional de Cine para Adolescentes de San Martín de los Andes,,https://www.recursosculturales.com/festival-cine-a-la-vista/,Argentina,"June 15, 2025",Yes,Festival Internacional Cine a la Vista!,,No,"Dirigido a largometrajes estrenados entre 2022 y 2024 y a cortometrajes realizados por adolescentes; no se menciona requisito de pago para participar. Disciplina: cine y audiovisual. Abierto a participantes de diferentes países, incluyendo Latinoamérica.",,https://cinealavista.com,Convocatoria,Cine,2025-05-03 22:15:00,,,No,No,,No,,,No,,,Sin cargo,Cine,,ARS,,False
Convocatoria | The Europe Challenge 2025/26,Convocatoria | The Europe Challenge 2025/26,,https://on-the-move.org/news/europe-challenge-202526-libraries-and-community-leaders-europe,Europa,"May 29, 2025",Yes,"
The European Cultural Foundation",,No,"Dirigido a bibliotecas y líderes comunitarios de toda Europa, con el objetivo de empoderarlos para desarrollar proyectos que respondan a los principales desafíos sociales, digitales y ecológicos del continente, promoviendo así una Europa más inclusiva, conectada y sostenible. Solo para organizaciones y Bibliotecas de paises europeos.",,https://theeuropechallenge.eu/news/apply-now-2025/,Convocatoria,"Otras, Biblioteca, Patrimonio, Gestión Cultural",2025-05-03 22:18:00,Fuera del Universo,,No,No,,No,,,No,,,Sin cargo,Otras,,,,False
Convocatoria | DongGang International Photo Festival 2025,Convocatoria | DongGang International Photo Festival 2025,,https://on-the-move.org/news/donggang-international-photo-festival-2025-south-korea,Corea del Sur,"June 1, 2025",Yes,DongGang International Photo Festival,,No,"Dirigido a fotógrafos individuales y colectivos de todo el mundo, incluidos los de Latinoamérica. No requiere pago para participar y se enfoca exclusivamente en la disciplina de fotografía, solicitando entre 8-12 fotografías de una serie o cuerpo de trabajo específico. El tema de este año es “Asimílalos, Refínalos, Recortarlos”. El Festival  se celebrará del 11 de julio al 28 de septiembre de 2025 en Yeongwol, Corea del Sur.",,https://www.dgphotofestival.com/2025opencall,Convocatoria,"Visuales, Fotografía",2025-05-03 22:18:00,,,No,No,,No,,,No,,,Sin cargo,Visuales,,,,False
Residencia | 2025 Residency on the Resonance of Videopoetry,Residencia | 2025 Residency on the Resonance of Videopoetry,,https://on-the-move.org/news/zkm-heidelberg-unesco-city-literature-2025-residency-resonance-videopoetry-germany,Alemania,"May 18, 2025",Yes,ZKM Karlsruhe - Heidelberg,,No,Dirigido a poetas (o aquellos que trabajan profesional y poéticamente con el lenguaje) que tengan una conexión clara (centro de vida y/o trabajo) con una de las 53 Ciudades de la Literatura de la UNESCO en todo el mundo. El programa de residencia se desarrollará del 1 de septiembre al 30 de noviembre de 2025. Se deben presentar sus solicitudes en inglés o alemán.,,https://www.heidelberg.de/HD/Leben/poetic+frequencies.html,Residencia,"Literatura, Poesía",2025-05-03 22:18:00,,,No,No,,No,,,No,,,Sin cargo,Literatura,,EUR,,False
